,Price,Km,Power,Year,Gas,Transmission,URL
0,27.889,59.997,190,2019,Benzin,Automatik,/angebote/audi-a4-40-tfsi-sport-s-tronic-led-navi-shz-acc-pdc-benzin-weiss-addee686-4f88-4ac6-9f96-14a979c054e3
1,25.851,96.371,190,2017,Diesel,Automatik,/angebote/audi-a4-avant-sport-2-0-tdi-quattro-140-190-kw-ps-s-tron-diesel-silber-dba9bd09-5917-4895-9a0c-a24ee1d8ab41
2,585,112.600,286,2019,Diesel,Automatik,/angebote/audi-a4-avant-50-tdi-qu-sport-xenon-navi-hud-sitzhzg-diesel-silber-bb3c5d08-3bee-4496-a667-d450f0b3c293
3,33.499,33.099,204,2020,Benzin,Automatik,/angebote/audi-a4-2-0-16v-tfsi-ahk-led-3-zonen-szh-acc-dab-benzin-grau-e89cd2ea-f0e9-4f23-a0b8-1de9169f2b9b
4,29.990,21.313,190,2019,Benzin,Automatik,/angebote/audi-a4-avant-2-0-tfsi-dsg-excl-lack-matrix-led-navi-kame-benzin-gruen-7dcfb6ce-e97a-4897-9ed3-4d320f3e07f4
5,26.980,61.123,150,2019,Benzin,Automatik,/angebote/audi-a4-avant-35-tfsi-s-tronic-navi-2x-pdc-advanced-benzin-05efa5ce-11ed-48b3-94b8-cec0f08dca5c
6,36.980,12.104,136,2022,Diesel,Automatik,/angebote/audi-a4-avant-30-tdi-s-tronic-led-navi-virtual-2x-pdc-diesel-629723a5-504b-4133-ab97-95e23ff3e3b2
7,32.980,66.750,190,2019,Benzin,Automatik,/angebote/audi-a4-40-tfsi-s-line-vico-led-topv-mass-sidea-acc-benzin-schwarz-8b615911-97cb-4941-95b3-5c5ed9223b9d
8,377,5.900,136,2021,Diesel,Automatik,/angebote/audi-a4-avant-30-tdi-advanced-led-navi-ahk-acc-sitzhz-diesel-silber-f820402c-1ef6-4112-b2f5-d3690f201d37
9,379,18.950,204,2021,Diesel,Automatik,/angebote/audi-a4-avant-advanced-40-tdi-qu-diesel-grau-1dd08e99-4c23-4489-b308-63915f2aa65d
10,33.890,17.319,150,2021,Benzin,Automatik,/angebote/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-dab-advanced-benzin-grau-bfdb8d14-4fd3-4271-b99d-3f0056559e49
11,28.990,122.889,190,2017,Diesel,Automatik,/angebote/audi-a4-2-0-tdi-s-line-mmi-b-o-pano-virtu-sthzg-diesel-grau-34b1f0e0-3ae1-4264-b5d5-8f540371cf57
12,33.900,26.100,204,2020,Diesel,Automatik,/angebote/audi-a4-avant-2-0tdi-navi-fla-acc-lm-diesel-schwarz-2110a6aa-b0b3-454d-af3a-2d91e0f8eae9
13,32.290,24.600,190,2020,Benzin,Automatik,/angebote/audi-a4-advanced-avant-40-tfsi-s-tronic-led-nav-virtua-benzin-blau-7c348bdd-88f2-4e17-abe1-061f49338136
14,34.490,47.165,190,2020,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-qu-navi-leder-19-ahk-2x-pdc-diesel-2a0bc480-7424-4e2d-9dbc-02bd5c4992b8
15,58.885,9.900,204,2023,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-s-line-ahk-matrix-acc-diesel-grau-db9eb35e-09ce-4ba3-85e5-452c9acd7cb6
16,32.950,105.000,190,2020,Diesel,Automatik,/angebote/audi-a4-avant-s-line-ahk-matrix-led-scheinwerfer-diesel-weiss-fa2eec43-3e65-433d-82e1-6d16ee91e4ac
17,33.499,40.677,245,2020,Benzin,Automatik,/angebote/audi-a4-avant-45-tfsi-quattro-1-hand-ahk-led-navi-benzin-schwarz-41ed9e6b-e05b-4dd5-b7ad-3292161af36d
18,36.980,62.500,204,2021,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-qu-led-ahk-leder-acc-18-s-line-diesel-360c82b8-0f10-4ce6-a1a9-a87f6e5f1afd
19,26.666,116.100,218,2018,Diesel,Automatik,/angebote/audi-a4-3-0-v6-24v-tdi-3-x-s-line-pano-matrix-led-diesel-grau-8ca817fe-a2c4-4ee6-9073-13f92e34c65f
20,25.555,130.400,245,2019,Benzin,Automatik,/angebote/audi-a4-2-0-tfsi-avant-45-quattro-sport-led-navi-benzin-grau-14757888-9be0-4fd0-9a5d-8dd9adb7404e
21,26.660,45.731,252,2018,Benzin,Automatik,/angebote/audi-a4-avant-sport-2-0l-tfsi-185kw-qu-navi-leder-xenon-benzin-schwarz-c5c51562-cf0c-4f7d-8269-bee8de180e3b
22,29.900,80.200,252,2017,Benzin,Automatik,/angebote/audi-a4-a4-avant-2-0-tfsi-quattro-s-tronic-sport-benzin-7eb7ebf8-4909-44ed-8b1d-891124c5bf3b
23,25.980,29.846,150,2019,Benzin,Automatik,/angebote/audi-a4-2-0-tfsi-35-tfsi-avant-sport-navi-automatik-benzin-schwarz-b2185df3-b53e-40c4-bd9b-61c250e1a7a8
24,25.555,83.100,190,2019,Diesel,Automatik,/angebote/audi-a4-40-tdi-avant-sport-acc-led-navi-diesel-schwarz-ef63ceaa-8bfe-4165-8572-6b38286ee7de
25,24.999,115.852,163,2020,Diesel,Automatik,/angebote/audi-a4-avant-35-tdi-s-tronic-led-navi-massage-alu-diesel-schwarz-accd4fcd-bb6a-437d-9e42-4a2ea2ce2dcd
26,27.999,87.458,163,2020,Diesel,Automatik,/angebote/audi-a4-av-35-tdi-advanced-s-tronic-headup-led-lane-diesel-grau-4d5e7a94-f018-43b7-95cc-24dd62d6be83
27,53.499,24.000,265,2022,Benzin,Automatik,/angebote/audi-a4-a4-avant-45-tfsi-quattro-s-tronic-s-line-benzin-grau-c132796e-f12a-4054-8a25-22715718b437
28,24.888,84.200,150,2018,Diesel,Automatik,/angebote/audi-a4-avant-35-tdi-s-line-navi-led-2xpdc-shz-diesel-weiss-89be923a-ce24-4542-872d-99d877d38dc4
29,22.490,111.500,163,2019,Diesel,Automatik,/angebote/audi-a4-35-tdi-s-tronic-1-hand-led-navi-shz-gra-163ps-diesel-grau-bc3bcbf9-eccf-4992-a09f-c8d624f00197
30,22.490,111.900,163,2019,Diesel,Automatik,/angebote/audi-a4-35-tdi-s-tronic-1-hand-led-navi-shz-gra-163ps-diesel-schwarz-99e68696-d327-4db1-9fe7-76388aabbe58
31,27.000,120.000,272,2016,Diesel,Automatik,/angebote/audi-a4-avant-3-0-tdi-quattro-tiptronic-s-line-b-o-sound-diesel-rot-febc94fa-4387-4e8e-9a78-a84fa9e7c7de
32,31.780,78.900,190,2019,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-edition-one-diesel-grau-0ca28511-e7df-40ed-91f2-01fa7ec15ff3
33,24.900,85.000,170,2020,Benzin,Automatik,/angebote/audi-a4-avant-40-g-tron-s-tronic-s-line-benzin-weiss-7c8a7571-6d48-48b5-a090-46596950dd93
34,22.900,156.000,190,2019,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-1hand-navi-pdc-shz-temp-diesel-schwarz-38bc67df-1abf-4708-8185-d576144f437a
35,22.900,156.200,231,2019,Diesel,Automatik,/angebote/audi-a4-avant-45-tdi-quattro-1-hand-diesel-rot-55826af6-6371-4ff4-8c5d-d452df0bf2f0
36,21.900,176.000,190,2019,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-sport-s-line-acc-navi-diesel-grau-9b12cf7c-c2fe-44fd-b214-31b30f3a1aad
37,35.550,23.600,136,2021,Diesel,Automatik,/angebote/audi-a4-a4-avant30-tdi-s-tronic-advanced-navi-ahk-diesel-grau-b1718537-f424-4455-af07-2c710666a382
38,34.699,61.000,190,2020,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-s-tronic-advanced-diesel-schwarz-67997ab5-8f83-49a5-bce7-4163484c60d7
39,45.699,54,204,2021,Benzin,Automatik,/angebote/audi-a4-s-line-navi-pdc-v-h-virtual-benzin-schwarz-473ea9ad-a1bb-49ac-875f-f3d812cb8930
40,32.990,91.700,330,2017,Benzin,Schaltgetriebe,/angebote/audi-a4-avant-tfsi-qua-abt-2x-s-line-matrix-b-o-navi-benzin-schwarz-e4afa5f7-df50-406d-8c7e-dc490cc6bd49
41,17.290,114.200,150,2017,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-ultra-led-gra-navi-sitzh-diesel-weiss-7611711c-ae2c-41f4-8006-e4903d7c96c7
42,24.000,138.000,190,2016,Diesel,Automatik,/angebote/audi-a4-a4-avant-2-0-tdi-ultra-s-tronic-diesel-weiss-2c19fa4e-fbae-4c27-8baa-7a415cdc55be
43,20.290,85.320,150,2017,Benzin,Automatik,/angebote/audi-a4-avant-navi-xenon-abstand-tempomat-multf-benzin-schwarz-b02350dc-46b1-4de7-a78b-7ba06babbf41
44,25.980,33.800,190,2018,Benzin,Automatik,/angebote/audi-a4-2-0-tfsi-140kw-ultra-s-tronic-avant-virt-navi-benzin-schwarz-0f7775b0-36e8-4129-a72a-464cce74487b
45,15.900,181.000,190,2017,Diesel,Automatik,/angebote/audi-a4-a4-avant-2-0-tdi-ultra-s-tronic-diesel-grau-15131fd5-ec9a-4657-8df1-6987e8a31a36
46,24.999,78.000,190,2018,Diesel,Automatik,/angebote/audi-a4-avant-2-0-tdi-s-tronic-quattro-diesel-schwarz-131f8ab6-dea6-4a48-8555-804fdcf66abe
47,15.999,186.500,150,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-2-0-tdi-avant-sport-ultra-1-hand-navi-gra-shz-bixe-diesel-grau-9192a463-1228-402e-801a-4af862b64c35
48,19.600,94.000,150,2017,Diesel,Schaltgetriebe,/angebote/audi-a4-2-0-tdi-sport-s-line-diesel-schwarz-a3e4f8a7-70f4-4a9d-928b-d68e3628d153
49,27.500,78.500,190,2016,Benzin,Automatik,/angebote/audi-a4-design-ultra-avant-8w5-benzin-grau-96ea132e-807d-48c2-9ac8-1e258e22377e
50,16.500,211.000,190,2017,Diesel,Automatik,/angebote/audi-a4-quattro-sport-avant-8w5-diesel-schwarz-6956a402-3a53-4115-bede-6e29781050c5
51,28.647,30.614,252,2018,Benzin,Schaltgetriebe,/angebote/audi-a4-2-0-tfsi-qu-led-navi-sportsitze-leder-benzin-grau-cb36b5c0-3ce7-4a5f-b9e9-a32320a7dd22
52,15.500,171.000,190,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-design-tdi-nur-fuer-gewerbe-und-export-lm-diesel-silber-10436d31-7a50-4164-9249-7964c67a242e
53,25.500,76.000,190,2019,Benzin,Automatik,/angebote/audi-a4-avant-40-tfsi-ahk-panorama-virtual-cockp-benzin-schwarz-b0c1d54a-a66b-4b02-8464-dab026d2075f
54,24.200,85.017,218,2017,Diesel,Automatik,/angebote/audi-a4-avant-3-0-tdi-design-panorama-navi-shz-klimaauto-diesel-schwarz-fcf6bdd8-f0a1-4399-a056-5c3063aedefc
55,19.999,149.000,190,2019,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-sport-navi-led-17zoll-ahk-diesel-grau-af5ae95e-1e6e-43a2-b528-73b3c4a438dd
56,16.950,133.789,150,2016,Diesel,Schaltgetriebe,/angebote/audi-a4-av-2-0tdi-design-naviplus-rfkamera-xenonplus-diesel-schwarz-f5343c32-2bd3-4eb2-b7e7-bf5da5b64bb0
57,25.500,64.200,190,2017,Benzin,Automatik,/angebote/audi-a4-avant-2-0-tfsi-ultra-sport-benzin-schwarz-73c5bb48-f817-4491-b2af-49ad6e4b16b9
58,27.990,91.000,190,2019,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-s-line-panorama-matrix-diesel-grau-95f3eee9-b620-400d-97ba-288764436cdb
59,29.000,73.000,190,2017,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-2-0-tdi-diesel-schwarz-992e34d5-181e-4294-90dd-3b981684fc38
60,18.700,166.000,190,2017,Diesel,Automatik,/angebote/audi-a4-avant-2-0-tdi-diesel-weiss-89152986-4a62-4940-ab46-ac618a8d9ca0
61,20.999,126.000,218,2016,Diesel,Automatik,/angebote/audi-a4-avant-3-0-tdi-ahk-virtual-c-leder-diesel-weiss-de6df81e-5560-4360-a27d-305273c4283f
62,24.499,106.400,190,2017,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-s-tronic-quattro-sport-i-virtual-diesel-grau-af69c67d-b344-458f-9519-c2dc581d1a2f
63,23.900,81.000,136,2020,Diesel,Automatik,/angebote/audi-a4-avant-30-tdi-s-tronic-sportsitze-1-hand-diesel-schwarz-196c4dec-9786-40ac-813b-2428582cf5a3
64,18.199,110.942,150,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-2-0-tdi-avant-sport-sposi-s-line-el-heckkl-diesel-schwarz-17aef073-86aa-4159-b0f7-89ae7ca27382
65,21.850,41.962,150,2018,Benzin,Schaltgetriebe,/angebote/audi-a4-avant-1-4tfsi-navi3d-xenonplus-temp-dab-19-benzin-grau-0be1c7e3-0c05-4ec4-a31e-eaf2405faff7
66,26.599,80.172,190,2019,Diesel,Automatik,/angebote/audi-a4-40-tdi-quattro-avant-sport-s-diesel-grau-9576d3d4-7c68-4788-9514-caf88c1e53bd
67,17.100,185.000,150,2019,Diesel,Automatik,/angebote/audi-a4-35-tdi-s-tronic-navi-led-ahk-diesel-schwarz-841a79f7-3559-4c45-b8d0-7a741d13cb59
68,23.910,57.867,190,2018,Benzin,Automatik,/angebote/audi-a4-2-0-avant-tfsi-design-ultra-aut-navi-benzin-blau-cfe368ce-030d-4847-80cd-071ad6a587e6
69,21.495,137.000,190,2017,Diesel,Automatik,/angebote/audi-a4-2-0-tdi-s-tronic-sport-virtual-xenon-b-o-1-hd-diesel-grau-835fede9-3d60-44b1-80e2-9f4e9df833e1
70,25.990,104.300,218,2017,Diesel,Automatik,/angebote/audi-a4-avant-3-0-tdi-design-q-s-line-led-nav-acc-ahk-shz-diesel-blau-6a04aa46-ff28-4b87-9eaa-3ec342363b6f
71,31.849,5.600,150,2022,Benzin,Schaltgetriebe,/angebote/audi-a4-avant-35-tfsi-advanced-benzin-silber-a28d2ccd-389e-45f1-b4e3-3d0725334f5f
72,23.970,119.000,190,2016,Diesel,Automatik,/angebote/audi-a4-2-0-tdi-avant-sport-quattro-s-line-ahk-s-line-diesel-schwarz-52505196-9f63-4245-bfc2-a7fc9bfdc799
73,19.999,154.864,190,2019,Diesel,Automatik,/angebote/audi-a4-40-tdi-avant-sport-sposi-s-line-acc-diesel-grau-6517c938-9dd6-483f-8d5c-13259e4654e6
74,27.950,117.000,231,2019,Diesel,Automatik,/angebote/audi-a4-avant-45-tdi-quattro-design-s-line-virutal-diesel-schwarz-8988dfac-3978-4b5a-bd91-2364cda26200
75,25.380,80.250,163,2020,Diesel,Automatik,/angebote/audi-a4-35-tdi-led-navi-sitzhzg-pdc-s-tronic-diesel-schwarz-44192207-00bc-4f2f-8b07-578ad5aa1ab9
76,18.500,132.459,150,2017,Diesel,Automatik,/angebote/audi-a4-avant-basis-diesel-blau-6a664f0f-d6bd-4a23-bdfd-f595cff9be84
77,25.200,117.600,190,2017,Diesel,Automatik,/angebote/audi-a4-sport-avant-8w5-2x-sline-diesel-blau-de9ef665-47d3-4d0e-ae3d-ecf0ec1657ae
78,23.699,67.257,150,2019,Diesel,Automatik,/angebote/audi-a4-35-tdi-avant-sport-ahk-pano-sposi-s-diesel-silber-cba569fc-dbc8-4deb-a0ee-0c876da9ae6d
79,48.500,89.000,252,2017,Benzin,Automatik,/angebote/audi-a4-avant-2-0-tfsi-quattro-s-tronic-sport-3x-s-line-benzin-grau-ae9c423d-cbab-484f-bca7-8b23c217d5db
80,15.990,163.000,190,2017,Diesel,Automatik,/angebote/audi-a4-avant-s-tronic-tempo-navi-1-hand-euro-6-diesel-silber-16a8685f-9506-4ee3-a395-c5198bc40bf5
81,23.680,62.500,190,2017,Diesel,Automatik,/angebote/audi-a4-2-0tdi-190-s-tronic-sport-nav-vitrc-alc-diesel-blau-b8c344d7-9c82-4126-a023-6cd4cda60ba3
82,29.950,49.100,252,2018,Benzin,Automatik,/angebote/audi-a4-avant-quattro-360-kamera-led-navi-vr-acc-benzin-weiss-838e4bb0-4305-4bb9-8869-a7aa3e3b8045
83,25.990,109.000,218,2018,Diesel,Automatik,/angebote/audi-a4-avant-3-0-tdi-quattro-s-tronic-standheizung-diesel-weiss-976bd0b1-001c-45f0-b1de-54bffe76238a
84,26.400,86.000,190,2020,Diesel,Automatik,/angebote/audi-a4-40-tdi-aut-leder-navi-led-kamera-diesel-grau-d11f37c4-97f1-44ae-a0e9-d20e199dbe4e
85,23.990,116.000,218,2017,Diesel,Automatik,/angebote/audi-a4-a-4avant-quattro-sport-led-navi-kamera-led-tacho-diesel-blau-dc81a572-33f3-468f-a668-486bcb83d69e
86,28.500,68.000,190,2020,Diesel,Automatik,/angebote/audi-a4-avant-40-tdi-quattro-advanced-diesel-grau-2af1e0bc-6a95-49c2-930e-dd88651053f5
87,14.950,232.900,190,2016,Diesel,Automatik,/angebote/audi-a4-avant-quattro-virtual-cockpit-panorama-diesel-blau-a89dfa82-dc9b-4a74-9bbb-7317ec20436a
88,24.460,59.910,190,2018,Benzin,Automatik,/angebote/audi-a4-2-0-tfsi-avant-navi-pdc-sitzhzg-xenon-ahk-benzin-weiss-aa73e4b7-9c80-4f51-a56f-4c706cdb7572
89,17.999,160.000,190,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-2-0-tdi-esitze-memory-navi-leder-diesel-blau-c9854ac8-7568-40eb-a0ac-5e91fd360086
90,17.300,136.200,150,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-2-0-tdi-35-diesel-silber-4ce1f1bd-fd7d-4cd9-acd5-81ffb9167c1d
91,19.700,138.925,150,2019,Diesel,Automatik,/angebote/audi-a4-35-tdi-design-avant-8w5-euro6-diesel-schwarz-d36d567b-ff76-44f7-b556-4a1427e09f51
92,27.500,84.500,190,2016,Diesel,Automatik,/angebote/audi-a4-avant-2-0-tdi-s-tronic-quattro-sport-diesel-grau-32959afa-7572-45ad-b66b-fb6414c8b001
93,27.647,62.815,190,2019,Benzin,Schaltgetriebe,/angebote/audi-a4-40-tfsi-sport-pano-navi-xenon-pdc-6-ga-benzin-grau-17ff7424-1343-4e07-8ffb-e954e584326c
94,19.790,137.242,190,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-av-2-0-tdi-sport-1-hand-bi-xenon-navi-ahk-diesel-grau-64f69b49-843e-4cf7-a82b-bf46efb86cd4
95,19.500,122.000,150,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-design-avant-8w5-diesel-weiss-e91b3e15-29eb-4ad2-8071-f1929755eb8a
96,26.450,98.144,190,2018,Diesel,Automatik,/angebote/audi-a4-av-2-0-tdi-led-virco-hud-pano-acc-assitenz-diesel-blau-5108df44-1665-447a-9a21-6ecdce131142
97,25.989,30.854,150,2018,Benzin,Schaltgetriebe,/angebote/audi-a4-1-4-tfsi-s-line-ahk-navi-pdc-benzin-weiss-7bd12b00-daf4-4029-a98d-9df6e8eec76a
98,22.980,98.500,190,2016,Diesel,Automatik,/angebote/audi-a4-avant-2-0-tdi-basis-quattro-klimaautomatik-diesel-schwarz-17b09006-c96b-47cf-9476-f4329b62d1d3
99,18.990,107.315,150,2018,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-bi-xenon-navi-elektr-heckklappe-pdc-diesel-schwarz-68977eef-f9f3-41d6-8a4b-5a21cfd9cd0c
100,17.399,142.500,150,2016,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-basis-ultra-2-0-tdi-navi-xenon-shz-pdc-diesel-schwarz-9f67dc00-7455-432e-8f5d-e23b440f7929
101,22.500,40.900,150,2018,Benzin,Schaltgetriebe,/angebote/audi-a4-avant-1-4-tfsi-150ps-bi-xenon-8-fach-bereift-benzin-schwarz-bac3c3e4-f116-45b7-b47c-051816edc439
102,24.950,94.189,136,2020,Diesel,Automatik,/angebote/audi-a4-avant-30tdi-s-tronic-advanced-led-naviplus-diesel-grau-a916d0ce-cb00-4e62-9faf-98a3080e4128
103,21.999,119.000,190,2017,Diesel,Automatik,/angebote/audi-a4-avant-sport-panoarama-standheizung-b-o-acc-diesel-weiss-52c5346d-3a37-41df-bbc3-5c47201e7f2a
104,20.600,117.450,150,2016,Diesel,Schaltgetriebe,/angebote/audi-a4-avant-sport-2-0-tdi-virtual-led-s-line-diesel-schwarz-61b33246-3d8e-4aee-ad01-a68024196433
105,24.399,115.000,190,2016,Diesel,Automatik,/angebote/audi-a4-avant-2-0-tdi-s-tronic-quattro-sport-diesel-schwarz-a1e1ad40-5a4c-43f9-b10c-1578964761e0
106,20.000,85.500,150,2018,Benzin,Schaltgetriebe,/angebote/audi-a4-a4-avant-1-4-tfsi-ahk-mmi-navi-sh-service-neu-benzin-silber-391b8904-3f5f-4ff8-9014-3e90bc967f12
107,25.880,113.570,190,2020,Diesel,Automatik,/angebote/audi-a4-avant-advanced-40-tdi-s-tr-ahk-led-eph-navi-diesel-schwarz-5273c6d2-7347-43d2-beb2-d16baba0bf9e
108,23.960,92.000,218,2017,Diesel,Automatik,/angebote/audi-a4-avant-3-0l-tdi-160kw-s-tr-vc-ahk-navi-xenon-diesel-silber-ca17d678-9c33-4d0a-aadf-79dfa662bbc2
109,27.950,99.200,252,2016,Benzin,Automatik,/angebote/audi-a4-avant-quattro-s-line-matrix-led-navi-acc-ahk-benzin-weiss-378713a5-8ed6-4654-b6b8-86db6cb1e20c
110,23.549,69.764,150,2018,Benzin,Schaltgetriebe,/angebote/audi-a4-1-4-tfsi-design-navi-led-virtual-sitzh-benzin-braun-8c8ac612-ce0a-42ae-83ed-ad81615504d9
