,Price,Km,Power,Year,Gas,Transmission,URL
0,52.590,2.900,204,2022,Elektro/Benzin,-,/angebote/bmw-320-e-m-sportpaket-head-up-hk-hifi-dab-led-rfk-elektro-benzin-schwarz-8850fdfd-fd51-4b7b-a027-b0e59bc74fb1
1,28.997,90.000,190,2020,Elektro/Diesel,-,/angebote/bmw-320-d-g-21-aut-navi-led-leder-hud-hifi-elektro-diesel-weiss-aac2c421-b633-459f-9d4a-57cb850fc368
2,29.900,72.236,326,2017,Benzin,Automatik,/angebote/bmw-340-i-3er-xdrive-sport-line-ahk-navi-klima-leder-al-benzin-weiss-0b1308d8-71ef-45b1-baf0-d97841011aa1
3,27.980,18.500,150,2020,Diesel,Schaltgetriebe,/angebote/bmw-318-d-touring-advantage-led-live-cockpit-navi-el-heckk-diesel-grau-0d87983c-bdb6-435b-9a29-1ab35f80f2ef
4,54.990,9.990,204,2022,Elektro/Benzin,-,/angebote/bmw-320-e-touring-m-sportpro-gsd-ahk-acc-elsitz-19-elektro-benzin-grau-71f6716a-2f1d-43be-b874-0bca4ef5507e
5,46.990,11.290,258,2022,Benzin,Automatik,/angebote/bmw-330-i-tour-m-sport-19-acc-alarm-gsd-hifi-parkass-benzin-grau-cb9f0df5-b5c0-45a4-9716-a0fefbaf032b
6,38.990,37.490,184,2022,Benzin,Automatik,/angebote/bmw-320-i-tour-luxury-ahk-gsd-acc-dab-hifi-leder-rfk-benzin-schwarz-08fea828-8ad9-4d63-b697-a9a33b6c19b0
7,35.990,38.490,156,2022,Benzin,Automatik,/angebote/bmw-318-i-tour-m-sport-acc-livecoprof-drive-park-ass-benzin-weiss-59b5f4ba-644b-4732-8834-0bed677f6274
8,46.990,4.490,258,2022,Benzin,Automatik,/angebote/bmw-330-i-tour-m-sport-19-acc-alarm-gsd-hifi-parkass-benzin-grau-724e9f57-c379-419e-9751-b93dfcb1bd3d
9,39.477,16.900,190,2021,Diesel,Automatik,/angebote/bmw-320-d-aut-sport-line-rate-419-ohne-anzahlung-diesel-grau-9cf9a3b8-28d7-4150-aa67-3544500470a1
10,49.750,49.800,292,2020,Elektro/Benzin,-,/angebote/bmw-330-e-292ps-m-sport-xdrive-aut-hybrid-m-paket-rueckfah-elektro-benzin-weiss-44d5135b-8e4a-4365-8710-de549a6a058a
11,47.990,76.000,374,2020,Benzin,Automatik,/angebote/bmw-340-touring-xdrive-laser-acc-hud-dab-h-k-sag-benzin-blau-85e6a0a9-5206-4ae7-9bb2-e39a02277103
12,46.980,7.490,258,2022,Benzin,Automatik,/angebote/bmw-330-i-tour-m-sport-19-acc-alarm-gsd-hifi-parkass-benzin-schwarz-00c8fc73-72e0-4c15-b894-d568f5346b1d
13,36.590,33.790,156,2022,Benzin,Automatik,/angebote/bmw-318-i-tour-m-sport-acc-livecoprof-drive-park-ass-benzin-weiss-097b3817-5123-41c1-be18-b09f69ec497b
14,41.590,11.990,190,2022,Diesel,Automatik,/angebote/bmw-320-d-tour-luxury-ahk-acc-gsd-spsitz-hifi-komfzg-diesel-schwarz-8dd0d683-b3c0-468e-b433-175af0a5a278
15,69.980,25.490,374,2022,Benzin,Automatik,/angebote/bmw-340-xdrive-tour-laser-h-k-hud-ahk-stdhz-gsd-benzin-schwarz-5368bb99-3b57-48d0-a995-95118becb7d9
16,38.977,12.700,150,2021,Diesel,Automatik,/angebote/bmw-318-d-aut-m-sport-navi-led-rfk-shz-hifi-bt-virtuco-diesel-grau-59fcac2e-a1bf-4375-ab60-b365ccda816b
17,70.990,12.890,340,2022,Diesel,Automatik,/angebote/bmw-340-m340d-xdrive-tour-19-hud-h-k-gsd-laser-acc-360-diesel-schwarz-d18b3eeb-351a-403a-b0a2-70a32768ea71
18,38.977,14.100,190,2021,Diesel,Automatik,/angebote/bmw-320-d-aut-sport-line-led-navi-acc-rfk-shz-virtuco-diesel-weiss-ab817612-a9a0-4023-a1c0-582888ac11d5
19,84.360,5,340,2023,Diesel,Automatik,/angebote/bmw-340-m340d-xdrive-touring-hud-ahk-acc-gsd-rfk-diesel-schwarz-ae85e628-7ad3-4a5b-b4b4-726b4e139c70
20,38.977,13.100,190,2021,Diesel,Automatik,/angebote/bmw-320-d-aut-sport-line-rate-414-ohne-anzahlung-diesel-grau-fb888546-044e-4ddc-8ba1-01c52205069a
21,38.977,7.000,190,2021,Diesel,Automatik,/angebote/bmw-320-d-aut-sport-line-led-navi-acc-rfk-shz-virtuco-diesel-schwarz-1d467d6e-b716-495e-a93b-e182a87e363f
