,Price,Km,Power,Year,Gas,Transmission,URL
0,27.990,26.966,280,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-lim-st-performance-pak-navi-kamera-sitzhz-benzin-blau-86ab38e7-1825-4af5-9fa8-c8bc0405096c
1,19.990,79.075,250,2017,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-st-2-0-recaro-navi-shz-xenon-benzin-grau-93b13a46-9492-4dab-a351-612873f8478f
2,19.990,79.075,250,2017,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-st-2-0-recaro-navi-shz-xenon-benzin-grau-f436737c-4384-42cc-976b-01e2e7f96fe6
3,12.480,92.500,150,2016,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-business-navi-2xpdc-sitzheizung-benzin-silber-643042f0-7725-4acf-b04d-484e3b915c62
4,15.490,82.500,125,2018,Benzin,Automatik,/angebote/ford-focus-turnier-1-0-business-navi-klimaaut-shz-pdc-benzin-schwarz-733c6fa8-5cf1-4229-ac2c-b19c325271e6
5,17.425,63.670,120,2020,Diesel,Automatik,/angebote/ford-focus-cool-connect-navigation-sitzheizung-pdc-diesel-blau-4870a753-8b93-4ed4-9adb-e913674b0e88
6,18.990,84.163,155,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-1-0-ecoboost-st-line-kamera-navi-benzin-schwarz-5a58b321-2a1e-4ed4-8320-ba19dfb7c935
7,16.990,92.915,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-1-0-st-line-navi-shz-kamera-benzin-grau-ce40b7da-3e11-46f1-866f-ce22db3ba5ec
8,16.880,86.290,155,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-hybrid-st-line-navi-kamera-benzin-grau-e67e378e-64b2-44b9-b4bf-0199d55e020d
9,17.335,66.641,120,2020,Diesel,Automatik,/angebote/ford-focus-cool-connect-navi-parkpilotsystem-shz-diesel-blau-20e1b861-089a-4d49-9022-a8acc51684fd
10,16.880,83.555,155,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-hybrid-st-line-navi-kamera-benzin-schwarz-f977d4c8-787d-4941-b232-732ac1f4585c
11,16.775,76.515,120,2020,Diesel,Automatik,/angebote/ford-focus-cool-connect-navi-parkpilotsystem-shz-diesel-blau-c752da6e-8e44-4bce-afb8-ddd0c1471c1f
12,27.220,17.852,182,2021,Benzin,Automatik,/angebote/ford-focus-1-5ecoboost-active-x-ahk-acc-navi-panorama-benzin-blau-cc8eda60-93ad-47a5-8ea3-280d3b29937f
13,15.990,98.550,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-titanium-turnier-benzin-weiss-81dcf6b4-27d6-4f36-947e-28271c798321
14,21.773,16.304,125,2022,Benzin,Schaltgetriebe,/angebote/ford-focus-st-line-head-up-led-rueckfahrkamera-navi-benzin-grau-153d6324-2f87-4869-bed9-c0643273ef99
15,16.180,84.298,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-hybrid-st-line-navi-kamera-sitzh-benzin-schwarz-ff7886f0-cdff-41b5-83dd-a96aaa8821bc
16,26.950,39.500,182,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-vignale-turnier-ahk-standheizung-acc-p-dach-benzin-grau-45c1c066-368d-49e8-872c-36004b736579
17,16.280,82.365,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-hybrid-st-line-navi-kamera-sitzh-benzin-schwarz-07e79554-fe0e-4b33-b04f-4bd7b88a9e31
18,24.440,27.207,150,2020,Benzin,Automatik,/angebote/ford-focus-1-5ecoboost-active-ahk-navi-kamera-led-benzin-schwarz-9b7f5de9-2f6b-452f-adbb-1adb1234ffbb
19,16.380,81.860,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-hybrid-st-line-navi-kamera-sitzh-benzin-grau-e09b5ec9-afab-48c1-907d-bef1a41b52ec
20,16.995,36.936,101,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-1-0-ecoboost-trend-sitzhzg-bt-gra-benzin-blau-c8db75e3-4b7c-4486-84de-2d7a27108cca
21,16.480,83.555,155,2020,Elektro/Benzin,-,/angebote/ford-focus-turnier-benzin-hybrid-st-line-navi-kamera-elektro-benzin-schwarz-637eb4b0-81b4-4770-83e5-13ab1694f35f
22,16.480,86.290,155,2020,Elektro/Benzin,-,/angebote/ford-focus-turnier-benzin-hybrid-st-line-navi-kamera-elektro-benzin-grau-4ee84945-ae2d-4772-a7fe-ae62803aa43e
23,16.950,47.600,101,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-trend-turnier-pdc-tempomat-winter-paket-benzin-schwarz-575360db-5976-4d3a-b107-8334a13c78a9
24,18.490,26.350,101,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-cool-connect-rueckfarhkamera-navi-wi-paket-benzin-schwarz-13e4c0ab-8965-4482-b762-4f72b3f08a40
25,17.550,52.500,125,2019,Benzin,Schaltgetriebe,/angebote/ford-focus-cool-connect-winter-paket-benzin-blau-f9b423ea-36d7-48e3-9ed9-f252cb20df3e
26,15.980,93.099,155,2020,Elektro/Benzin,-,/angebote/ford-focus-turnier-benzin-hybrid-st-line-navi-kamera-elektro-benzin-weiss-c6baaf76-d4a2-4765-ae41-65bbef6653e7
27,19.450,57.200,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-cool-connect-ergonomiesitze-led-kamera-benzin-grau-83061830-a1b2-45ce-944f-61aa7a5aed00
28,18.490,19.600,101,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-cool-connect-led-wi-paket-ergonomiesitze-benzin-blau-06d83584-533d-4ab3-95e0-77ba96da1f44
29,29.877,3.900,150,2022,Benzin,Automatik,/angebote/ford-focus-turnier-aut-st-line-x-navi-shz-led-rfk-alu-benzin-grau-5c882719-e895-4948-a299-3b04b04acc07
30,30.550,100,155,2023,Benzin,Automatik,/angebote/ford-focus-active-style-turnier-navi-acc-led-benzin-schwarz-bf083934-412a-46f9-b203-59f973950bfc
31,17.290,53.000,101,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-trend-turnier-pfc-tempomat-sitzheizung-benzin-schwarz-4b1db9c1-8fbf-4c07-9232-e18c0fe60bc6
32,22.480,35.850,155,2021,Elektro/Benzin,-,/angebote/ford-focus-turnier-1-0-ecoboost-mild-hybrid-cool-connect-na-elektro-benzin-schwarz-93e1c861-a0a6-4c2a-8162-a02b849c4a4c
33,24.950,14.000,125,2022,Benzin,Schaltgetriebe,/angebote/ford-focus-cool-connect-sitzhzg-lenkrad-bheizbar-benzin-blau-3d2a06b5-477e-4094-a441-361152359836
34,30.450,8.000,155,2022,Benzin,Schaltgetriebe,/angebote/ford-focus-active-style-turnier-sitzhzg-led-benzin-schwarz-5f67b779-5b1c-4140-9a0a-6a0af6af90a8
35,16.980,37.300,125,2020,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-1-0-ecoboost-cool-connect-navi-pdc-klima-s-benzin-rot-03bc2780-3bfe-468b-b9d6-a5424eff49e7
36,9.480,172.000,150,2016,Benzin,Schaltgetriebe,/angebote/ford-focus-turnier-1-5-ecoboost-business-navi-sync-3-temp-pd-benzin-grau-498a9708-9a6c-4220-8911-e96a2998553b
