,Price,Km,Power,Year,Gas,Transmission,URL
0,14.450,188.000,150,2019,Diesel,Automatik,/angebote/ford-mondeo-turnier-2-0-tdci-trend-automatik-eu6-navi-pdc-diesel-silber-8a3eb002-435c-4821-882b-2b8377e45060
1,28.800,56.800,190,2020,Diesel,Automatik,/angebote/ford-mondeo-turniertitanium-2-0-ecoblue-awd-ahk-8fach-diesel-grau-2a9ce83c-c926-4110-a0ee-2ce2e2959bf1
2,25.990,69.274,190,2020,Diesel,Automatik,/angebote/ford-mondeo-turnier-titanium-awd-allrad-sitzheiz-diesel-grau-bc41108c-13c9-4b94-acc6-422ffeb21d24
3,28.950,15.396,188,2022,Elektro/Benzin,-,/angebote/ford-mondeo-turnier-hybrid-titanium-nav-adaptemp-led-wp-ahk-elektro-benzin-schwarz-b19ef849-11b2-4ed6-a5c6-2e9446388c2a
4,27.950,17.629,188,2022,Elektro/Benzin,-,/angebote/ford-mondeo-turnier-hybrid-titanium-nav-adaptemp-led-wp-ahk-elektro-benzin-silber-98b0ab01-f96d-466c-a611-9c2b9d53be09
5,19.780,104.930,150,2021,Diesel,Automatik,/angebote/ford-mondeo-turnier-2-0-ecoblue-titanium-navi-led-shz-diesel-weiss-98ac5e01-30f8-4f7f-ad2b-7b37c42be7b9
6,28.490,8.000,185,2022,Elektro/Benzin,-,/angebote/ford-mondeo-turnier-2-0-hybrid-t-temp-fla-spurh-dynli-elektro-benzin-schwarz-fe0bc697-4337-42b7-86bd-0ad9aa9b1310
7,35.950,3.500,190,2020,Elektro/Benzin,-,/angebote/ford-mondeo-turnier-2-0-ti-vct-hybrid-vignale-elektro-benzin-grau-60f30549-54a5-4208-aff4-ba71df0b3387
8,28.990,70.762,188,2021,Elektro/Benzin,-,/angebote/ford-mondeo-turnier-2-0-hybrid-st-line-led-kamera-elektro-benzin-schwarz-71ec565f-2679-4468-a40f-fb8b15fa2ffb
9,28.490,8.000,185,2022,Benzin,Automatik,/angebote/ford-mondeo-turnier-2-0-hybrid-t-temp-fla-spurh-dynli-benzin-schwarz-9de19c47-e99a-473b-8360-dacca423d8a1
10,26.940,54.750,188,2020,Elektro/Benzin,-,/angebote/ford-mondeo-turnier-hybrid-vignale-led-acc-ahk-shz-cam-elektro-benzin-schwarz-d1a4db4b-f640-46e4-b24f-7620ffad4b76
11,13.290,150.000,179,2018,Diesel,Schaltgetriebe,/angebote/ford-mondeo-mondeo-turnier-2-0-tdci-led-parkass-dab-navi-shz-diesel-weiss-1198657e-6e09-44a1-9b75-ae32e6611296
12,14.490,90.200,150,2016,Diesel,Automatik,/angebote/ford-mondeo-turnier-business-edition-navi-pdc-sitzh-8fachalu-diesel-schwarz-f40a9fb3-500c-4a0b-8fe6-91bba10abd84
13,13.980,120.000,165,2018,Benzin,Automatik,/angebote/ford-mondeo-1-5-ecoboost-trend-turnier-automatik-benzin-schwarz-26ecaf96-8e6c-4041-9e5e-7d5898747ca7
14,16.300,60.000,160,2017,Benzin,Schaltgetriebe,/angebote/ford-mondeo-turnier-1-5-ecoboost-start-stopp-trend-benzin-weiss-597adb20-a2c8-4b0d-b96a-3a6597911a18
15,11.950,160.300,150,2019,Diesel,Schaltgetriebe,/angebote/ford-mondeo-turnier-business-edition-navi-ahk-1hd-diesel-weiss-f48a8df3-dc9e-4467-b4bc-3468fbcdab7c
16,19.900,81.000,179,2017,Diesel,Automatik,/angebote/ford-mondeo-titanium-turnier-top-aust-diesel-schwarz-a0dc4391-a8fb-43e0-b970-867f688598b4
17,14.990,83.000,165,2018,Benzin,Schaltgetriebe,/angebote/ford-mondeo-turnier-business-edition-benzin-weiss-b2a6c7ae-8ca3-4063-ac3a-6e3f18de6ca9
18,20.490,118.350,179,2017,Diesel,Automatik,/angebote/ford-mondeo-2-0-tdci-vignale-automatik-leder-led-navi-abstands-diesel-weiss-3b3799cc-8626-450a-af89-819a2ca2c8a1
19,14.000,137.500,150,2017,Diesel,Automatik,/angebote/ford-mondeo-2-0-tdci-start-stopp-titanimum-automatik-diesel-schwarz-acc5b417-8ef9-4cdf-a271-abc3d245a22f
20,14.000,120.000,179,2016,Diesel,Schaltgetriebe,/angebote/ford-mondeo-turnier-2-0-tdci-start-stopp-titanium-diesel-grau-80df2995-1e9e-4127-8f94-8371ea24df31
21,11.900,206.500,209,2017,Diesel,Automatik,/angebote/ford-mondeo-turnier-2-0-tdci-bi-turbo-powershift-aut-titanium-diesel-grau-962bbffd-b28c-4799-8584-bb430ba4e81f
22,18.990,90.000,179,2016,Diesel,Schaltgetriebe,/angebote/ford-mondeo-2-0-tdci-132kw-st-line-turnier-panorama-diesel-blau-2958e101-30c6-42ef-a704-5342350ae992
