,Price,Km,Power,Year,Gas,Transmission,URL
0,30.788,102.851,245,2019,Diesel,Automatik,/angebote/mercedes-benz-c-300-t-d-amg-line-2x-ahk-hud-burmes-distro-led-diesel-grau-3af0fe85-af15-4254-b2a7-8c1aeca1ba9c
1,23.399,157.997,194,2020,Diesel,Automatik,/angebote/mercedes-benz-c-220-d-t-4matic-9g-tronic-1-hand-navi-led-19-diesel-gruen-81e71f3f-5cae-49de-90f7-1b65c08606b7
2,25.780,51.798,170,2017,Diesel,Automatik,/angebote/mercedes-benz-c-220-d-t-avantgarde-comand-ils-ferna-shzg-dtr-diesel-grau-45c3d3cf-cf40-4b55-975f-c1860634e9b3
3,31.950,39.080,258,2020,Benzin,Automatik,/angebote/mercedes-benz-c-300-t-distronic-multibeam-memory-dig-cockpit-autom-benzin-schwarz-7ee0c3c9-077a-46d8-a9d5-28edf61003bf
4,21.499,152.455,184,2018,Benzin,Automatik,/angebote/mercedes-benz-c-200-4matic-t-1-hand-19-mwst-ahk-led-navi-benzin-schwarz-4704fa98-eaf1-4a9e-9021-3264e6e7cef4
5,35.850,12.070,245,2021,Diesel,Automatik,/angebote/mercedes-benz-c-300-t-d-distronic-head-up-led-360-el-klappe-navi-diesel-grau-8fe339fd-adbb-421a-8eac-1d374c906d0a
6,32.950,36.000,194,2020,Diesel,Automatik,/angebote/mercedes-benz-c-220-d-t-c-klasse-t-modell-ahk-acc-led-leder-diesel-schwarz-dec5892e-ce18-458b-abb7-f290f2507e97
7,29.990,98.149,194,2018,Diesel,Automatik,/angebote/mercedes-benz-c-220-amg-line-9-tronic-multib-amb-virtual-wide-diesel-grau-5c1a6afa-1112-481a-b166-89c25226448c
8,37.750,8.280,170,2022,Benzin,Automatik,/angebote/mercedes-benz-c-180-t-avantgarde-ahk-navi-led-kamera-sitzhzg-autom-benzin-grau-35071186-8864-4d2f-94dc-ec3d16ae3e84
9,39.399,54.485,367,2017,Benzin,Automatik,/angebote/mercedes-benz-c-43-amg-t-4m-night-pano-sp-abgas-led-navi-18-benzin-weiss-7a2f0d3b-0ee2-4d9e-a033-ab36b9f88938
10,31.480,93.387,194,2020,Diesel,Automatik,/angebote/mercedes-benz-c-220-d-amg-line-wides-multibeam-memory-hud-ahk-diesel-grau-fb8af85b-4346-4d08-862a-d01e1db51620
