,Price,Km,Power,Year,Gas,Transmission,URL
0,27.700,130.000,160,2020,Diesel,Automatik,/angebote/mercedes-benz-e-200-lim-e-200-d-9g-tronic-avantgarde-taxi-diesel-beige-5c5e522b-c823-4329-a375-8c1d746622f5
1,22.799,96.000,204,2016,Diesel,Automatik,/angebote/mercedes-benz-e-250-t-cdi-4m-avantgarde-shd-led-ils-navi-8-fa-diesel-schwarz-f79b43d2-c093-417a-8ad3-b59b9744e0cc
2,26.989,95.000,184,2017,Benzin,Automatik,/angebote/mercedes-benz-e-200-t-4m-avantgarde-multibea-kam-totw-shd-navi-benzin-weiss-49eece23-84a6-446e-9924-5468e701a724
3,53.199,40.000,340,2020,Diesel,Automatik,/angebote/mercedes-benz-e-400-t-d-4m-amg-line-2x-comand-psd-multibea-19-diesel-schwarz-8e1f9f3f-4459-4fd6-8522-0fb24117cd42
4,39.750,65.300,211,2021,Elektro/Benzin,-,/angebote/mercedes-benz-e-300-t-e-distronic-ahk-multibeam-schiebedach-navi-elektro-benzin-weiss-d7ef6696-9f5c-4e37-b6a0-178d5d41e538
5,61.450,16.740,330,2021,Diesel,Automatik,/angebote/mercedes-benz-e-400-t-d-4m-amg-line-distr-ahk-multibeam-night-navi-diesel-rot-97b13c03-b42f-4c5b-93dd-bf8be8f5438c
6,52.799,28.400,265,2021,Diesel,Automatik,/angebote/mercedes-benz-e-300-t-d-4m-amg-line2x-led-ahk-kam-shd-mbux-19-diesel-silber-3a8b8e73-0de7-47fd-8dcf-42932ba562b5
7,56.399,38.837,330,2020,Diesel,Automatik,/angebote/mercedes-benz-e-400-t-d-4m-amg-line-2x-fahrassis-360-shd-dab-diesel-blau-16b4bf72-03e5-464f-b320-937b6019624e
8,63.799,38.549,367,2021,Benzin,Automatik,/angebote/mercedes-benz-e-450-t-4m-amg-line-2x-360-ahk-dab-led-memo-19-benzin-grau-3035a15b-2130-4837-9445-8e0a517ce2b3
9,50.899,27.713,194,2022,Diesel,Automatik,/angebote/mercedes-benz-e-220-t-d-4m-amg-line2x-led-ahk-kam-mbux-shd-19-diesel-grau-73b213b0-9ac5-4747-b836-9b76309adfbf
10,49.899,54.586,258,2021,Benzin,Automatik,/angebote/mercedes-benz-e-300-t-amg-line-2x-pano-multibe-distro-19-wid-benzin-silber-dfbe8629-7523-41f9-a7d2-5f9764600f76
