,Price,Km,Power,Year,Gas,Transmission,URL
0,19.973,62.140,150,2018,Diesel,Schaltgetriebe,/angebote/skoda-octavia-clever-ahk-navi-acc-pano-standheizung-diesel-silber-a375f2f7-f555-4464-aa26-f2d4e4af430a
1,27.290,23.500,150,2020,Benzin,Schaltgetriebe,/angebote/skoda-octavia-combi-first-edition-1-5l-tsi-rfk-canton-benzin-schwarz-0df6b50b-3554-4df8-8cac-4348b1467423
2,24.225,62.321,150,2019,Diesel,Automatik,/angebote/skoda-octavia-style-dsg-acc-navi-kamera-smartlink-pdc-diesel-schwarz-3fde514f-1891-451f-8812-8d182c3f4e4c
3,328,30.669,150,2021,Diesel,Schaltgetriebe,/angebote/skoda-octavia-combi-2-0-tdi-style-navi-led-pdc-diesel-schwarz-cc005b4f-6c68-433c-be51-cb2e4bfb4fad
4,14.480,89.918,116,2017,Diesel,Schaltgetriebe,/angebote/skoda-octavia-1-6-tdi-ambition-navi-appconnect-dab-pdc-diesel-blau-56d8feed-a6ec-476d-84d5-cd5c1ebb39b5
5,392,26.569,150,2021,Benzin,Schaltgetriebe,/angebote/skoda-octavia-combi-1-5-tsi-style-navi-pdc-benzin-schwarz-630d8989-5a94-40b3-9d2a-30c24764841c
6,17.970,125.950,150,2019,Diesel,Automatik,/angebote/skoda-octavia-combi-2-0-tdi-dsg-soleil-ahk-navi-sitzh-diesel-weiss-f15b0dff-03d2-468c-80ec-dc7d89b2d5d5
7,16.970,98.455,150,2019,Diesel,Schaltgetriebe,/angebote/skoda-octavia-combi-2-0-tdi-style-navi-led-diesel-grau-aca3611b-7f9b-471a-8057-f4749329833c
8,25.990,90.381,184,2018,Diesel,Automatik,/angebote/skoda-octavia-2-0-tdi-rs-4x4-acc-led-ahk-dab-fla-nav-diesel-schwarz-ec1aaa1a-2988-4ca2-a73e-088f0dc17b72
9,22.599,43.615,150,2019,Benzin,Automatik,/angebote/skoda-octavia-style-1-5-l-tsi-dsg-dab-pdc-mirrorlink-acc-benzin-grau-ac1b33c9-3cc3-4519-90aa-5579019fe9c3
10,36.900,26.521,150,2022,Diesel,Schaltgetriebe,/angebote/skoda-octavia-combi-2-0-tdi-scout-4x4-ahk-standhzg-klima-diesel-silber-3775d08c-812c-4932-b7ec-0fae961da2fd
11,39.044,52,150,2023,Benzin,Automatik,/angebote/skoda-octavia-combi-iv-1-5-tsi-dsg-style-acc-dab-led-navi-rfk-benzin-blau-368d3202-be72-499c-8911-db041f8e9e87
12,43.850,515,245,2022,Benzin,Automatik,/angebote/skoda-octavia-combi-2-0-tsi-dsg-rs-ahk-nav-19-zoll-acc-benzin-weiss-05759d94-4b28-47ff-b303-2231ea1a9e44
13,22.290,73.600,150,2018,Diesel,Automatik,/angebote/skoda-octavia-combi-clever-2-0l-tdi-4x4-ahk-pdc-v-h-diesel-grau-0988c662-385f-4c41-9962-1498d57e6165
14,20.490,79.500,179,2018,Benzin,Schaltgetriebe,/angebote/skoda-octavia-combi-clever-1-8l-tsi-klima-2-zonen-pdc-benzin-schwarz-14f14665-bffe-41db-8ce5-0f4f0a53b733
15,26.890,76.200,184,2019,Diesel,Automatik,/angebote/skoda-octavia-combi-rs-2-0l-tdi-4x4-ahk-acc-pdcv-h-navi-diesel-schwarz-4d105a1f-3aea-4549-856f-576387cd904b
