,Price,Km,Power,Year,Gas,Transmission,URL
0,21.450,89.000,190,2019,Diesel,Automatik,/angebote/skoda-superb-combi-2-0tdi-dsg-eu6d-t-acc-navi-xenon-diesel-silber-500a929a-ad2a-45c6-956a-44a1dd42cc9b
1,24.480,84.928,190,2018,Diesel,Automatik,/angebote/skoda-superb-2-0-tdi-4x4-ambition-dsg-xen-kam-mem-ahk-diesel-grau-568bb550-fa60-492e-a146-dac8d72a4bd8
2,22.983,59.136,150,2019,Benzin,Schaltgetriebe,/angebote/skoda-superb-ambition-navi-rueckfahrkamera-ahk-pdc-shz-benzin-schwarz-8fdd6899-2b69-4a90-898b-5855d1bd1dff
3,435,31.215,150,2022,Diesel,Automatik,/angebote/skoda-superb-combi-2-0-tdi-dsg-ambition-navi-diesel-grau-01f7df2e-5159-4f7d-9105-b5b2cc55f9c2
4,510,33.000,150,2020,Diesel,Automatik,/angebote/skoda-superb-combi-style-2-0tdi-dsg-matrix-ahk-5j-gar-diesel-silber-936430a2-3b5c-4193-86a6-52df2907fbbe
5,357,17.899,150,2021,Benzin,Automatik,/angebote/skoda-superb-combi-1-5-tsi-dsg-ambition-sitzh-benzin-schwarz-306f2f0a-b4a1-4a5b-b0f8-68eed4c214dd
6,484,23.406,200,2021,Diesel,Automatik,/angebote/skoda-superb-combi-2-0-tdi-dsg-style-pano-navi-diesel-grau-06664424-94f5-4cba-a616-e797b443cd74
7,40.390,5.590,200,2021,Diesel,Automatik,/angebote/skoda-superb-combi-style-dsg-navi-dab-vze-led-acc-smartlink-dig-diesel-grau-60c9c1ee-f850-4e17-858f-7f5a403e67a1
8,544,62.920,190,2020,Diesel,Automatik,/angebote/skoda-superb-combi-2-0-tdi-4x4-l-k-led-dsg-ahk-acc-sta-diesel-rot-c5a44e34-18d1-4160-a416-f5d9428db1bc
9,49.885,515,200,2022,Diesel,Automatik,/angebote/skoda-superb-combi-2-0-tdi-dsg-sportline-ahk-dcc-navi-diesel-schwarz-0f5657ca-8fd4-4fde-8286-f3cd567d38dc
10,444,87.380,190,2020,Diesel,Automatik,/angebote/skoda-superb-combi-2-0-tdi-l-k-ahk-dcc-navi-diesel-schwarz-299c805b-5170-46c3-bb09-e6a88f06ac37
11,26.500,52.000,150,2020,Diesel,Schaltgetriebe,/angebote/skoda-superb-combi-2-0-tdi-style-diesel-blau-12d0075c-a9c8-4c46-9c3a-0d07e42c0126
12,18.790,87.301,150,2019,Diesel,Schaltgetriebe,/angebote/skoda-superb-combi-active-2-0-tdi-pdc-shz-bt-freispr-diesel-blau-54779c12-4f09-48b7-ac00-f15019186c86
13,22.500,87.000,150,2017,Benzin,Automatik,/angebote/skoda-superb-superb-iii-1-4-tsi-act-dsg-style-110-kw-benzin-weiss-a48cc308-9dce-4c1d-89c3-a90332f88b56
14,22.990,116.386,190,2019,Diesel,Automatik,/angebote/skoda-superb-combi-2-0-tdi-ambition-lm-klimaa-diesel-blau-c8cec70e-d068-4371-a7f8-82b564120e97
15,26.990,67.000,190,2019,Diesel,Automatik,/angebote/skoda-superb-superb-combi-2-0-tdi-dsg-style-diesel-weiss-2f64b590-a87f-4144-849a-c6c961e4b5c3
