,Price,Km,Power,Year,Gas,Transmission,URL
0,20.950,80.000,150,2018,Benzin,Automatik,/angebote/volkswagen-golf-variant-1-5-tsi-dsg-highline-eu6-r-line-acc-led-benzin-schwarz-d8847377-f134-4904-a111-c6aa01e38fe4
1,23.950,48.731,184,2019,Diesel,Automatik,/angebote/volkswagen-golf-variant-gtd-golf-vii-variant-2-0-tdi-diesel-schwarz-25b4b2e5-a2f0-4857-89de-c1aadda00302
2,19.990,82.475,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-variant-golf-vii-variant-1-5-tsi-iq-drive-led-pdc-shz-benzin-blau-3ae526e3-5a80-4710-af73-007f952981ef
3,31.980,10,150,2022,Elektro/Benzin,-,/angebote/volkswagen-golf-variant-8-life-1-5-etsi-mhev-dsg-110kw-150ps-autom-elektro-benzin-schwarz-bc72dc91-d1be-4024-8e1f-dfe59dff4187
4,31.940,10,150,2022,Elektro/Benzin,-,/angebote/volkswagen-golf-variant-8-life-1-5-etsi-mhev-dsg-110kw-150ps-autom-elektro-benzin-weiss-5341d36c-b765-4353-81a9-c8c986586123
5,18.770,31.063,131,2018,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-variant-golf-vii-variant-1-5-tsi-join-ahk-navi-benzin-blau-a2f90b1d-cfb3-450c-a837-d0c0279ede47
6,29.671,9.976,150,2022,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-variant-golf-viii-variant-1-5-tsi-life-navi-led-benzin-grau-1b560520-ec76-4737-8af3-6c7dc707495e
7,34.870,24.995,150,2022,Benzin,Automatik,/angebote/volkswagen-golf-variant-viii-1-5-etsi-dsg-r-line-navi-benzin-grau-74ae52bc-a097-4b60-9f67-a6ba85cec9c2
8,17.383,114.511,150,2018,Benzin,Automatik,/angebote/volkswagen-golf-variant-golf-vii-variant-1-5-tsi-dsg-comfortline-navi-benzin-weiss-08e15982-fbee-4a4e-aa63-81cc7c513d6d
9,27.970,19.900,131,2021,Elektro/Benzin,-,/angebote/volkswagen-golf-variant-life-1-5-etsi-dsg-spurh-spurw-led-elektro-benzin-grau-ccfd2084-08c5-4e71-84ea-e6a4fbd4edfd
