,Price,Km,Power,Year,Gas,Transmission,URL
0,19.620,74.449,136,2018,Elektro,-,/angebote/volkswagen-golf-vii-e-golf-ccs-nav-led-app-assist-shz-l-s-isofix-elektro-silber-ef65ff87-79c9-4a68-ad33-b287230cfe15
1,9.999,177.684,110,2016,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-vii-variant-1-2-tsi-trendline-bmt-navi-benzin-silber-47a33e80-1f25-49c7-973a-d5a477feddc8
2,23.900,21.690,150,2020,Benzin,Automatik,/angebote/volkswagen-golf-vii-variant-1-5-tsi-dsg-iq-drive-acc-klima-pdc-benzin-grau-3e617c71-04a8-4341-a95e-e1429a57ac49
3,23.980,79.979,184,2020,Diesel,Automatik,/angebote/volkswagen-golf-vii-2-0-tdi-4m-alltrack-dsg-nav-led-kam-acc-diesel-grau-2ab06367-b43e-4c4e-a286-3380f2c84618
4,24.980,36.190,150,2018,Diesel,Automatik,/angebote/volkswagen-golf-vii-variant-2-0-tdi-4m-dsg-nav-led-sthz-ahk-diesel-weiss-03d3b573-6ab8-4a5c-a012-ef70d76bdab3
5,33.449,7.745,150,2022,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-viii-variant-1-5tsi-r-line-ahk-ruekam-keyless-le-benzin-grau-258a1cd2-d88f-4ef2-b6f7-472ae4ba1de2
6,20.990,99.700,184,2018,Diesel,Automatik,/angebote/volkswagen-golf-alltrack-4motion-dsg-ahk-acc-8f-ber-diesel-weiss-941e5eae-1e51-45a9-bde0-0c109423452e
7,19.960,53.394,150,2019,Diesel,Automatik,/angebote/volkswagen-golf-vii-var-highline-2-0l-tdi-110kw-dsg-led-navi-diesel-weiss-720d1e4f-4725-4822-bf9b-a8163b5abbaf
8,16.780,162.190,150,2019,Diesel,Automatik,/angebote/volkswagen-golf-vii-variant-comfortline-bmt-start-stopp-diesel-silber-16aa704b-7f27-42dc-baea-4b0d68f4a91a
9,15.380,171.329,150,2019,Diesel,Automatik,/angebote/volkswagen-golf-vii-variant-highline-bmt-start-stopp-diesel-schwarz-23f65ef8-5e2d-4be2-9364-245a1ac6cc10
10,17.390,187.619,150,2019,Diesel,Automatik,/angebote/volkswagen-golf-vii-variant-alltrack-bmt-start-stopp-4motio-diesel-weiss-5fb49e0f-61d0-433c-a888-460778a901e0
11,35.950,9,150,2023,Benzin,Automatik,/angebote/volkswagen-golf-viii-variant-1-5-etsi-style-dsg-acc-dab-led-navi-r-benzin-schwarz-c68be9c4-c646-4722-9237-1108f9068aaa
12,29.899,5.000,131,2023,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-variant-130-ps-benzin-ahk-klimatronic-benzin-grau-5b7ae46a-97b7-48a5-abe5-9cf5f3a7d515
13,18.899,98.548,184,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-golf-vii-2-0-tdi-bmt-gtd-s-dach-sposi-led-diesel-blau-6003f9d2-066e-4f1b-83e4-206807e728eb
14,13.890,90.000,110,2017,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-sportsvan-vii-allstar-bmt-start-stopp-navi-benzin-grau-23d7ed39-6bde-4308-8b41-141f3ca0eb57
15,9.000,170.832,110,2016,Diesel,Schaltgetriebe,/angebote/volkswagen-golf-1-6-tdi-2-hand-scheckheftgepflegt-diesel-silber-e8726257-8714-4826-b055-6e8f65ec10f4
16,18.790,50.540,116,2017,Diesel,Automatik,/angebote/volkswagen-golf-variant-1-6-tdi-dsg-sound-led-navi-diesel-weiss-322f54c9-70ef-4a74-95e7-13910be2bb01
17,13.470,100.000,116,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-golf-variant-1-6-tdi-navi-bluetooth-shz-pdc-diesel-schwarz-843f52f1-2790-4c45-b791-cf2ac65c0856
18,20.470,53.315,150,2020,Diesel,Automatik,/angebote/volkswagen-golf-variant-2-0-tdi-dsg-comfortline-navi-acc-sh-diesel-schwarz-2868fb86-703e-4973-a2f1-107cc0858992
19,18.900,65.000,150,2017,Diesel,Automatik,/angebote/volkswagen-golf-vii-2-0-tdi-highline-standh-led-navi-acc-diesel-weiss-fad0555c-c9ff-4258-b2ca-d2f69d6312b4
20,20.370,59.994,150,2019,Benzin,Schaltgetriebe,/angebote/volkswagen-golf-variant-1-5-tsi-join-navi-standheizung-acc-benzin-schwarz-236f8e61-be17-4377-a412-c4a73cdc7500
