,Price,Km,Power,Year,Gas,Transmission,URL
0,14.490,140.296,120,2016,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-1-6-tdi-trendline-led-ahk-temp-8-fach-diesel-grau-a100b7b7-213a-4924-8750-45a2d24a9391
1,26.990,73.290,239,2017,Diesel,Automatik,/angebote/volkswagen-passat-2-0-tdi-dsg-highline-4motion-ahk-led-kam-diesel-weiss-d2ebb60d-e5d3-4848-a704-d5cd92b1a992
2,329,26.130,150,2021,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-acc-led-klimaa-navi-ahk-diesel-grau-3b2230d2-4065-4b95-bd23-c7afa84eb020
3,325,36.430,150,2022,Diesel,Automatik,/angebote/volkswagen-passat-variant-business-2-0-tdi-dsg-acc-led-lm-diesel-silber-6990e5a1-c306-457a-8a9f-ff3d81685699
4,580,59.400,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-alltrack-2-0-tdi-4m-led-navi-acc-keyless-diesel-blau-3f84c249-1edf-40c9-815d-61baa31126f1
5,539,62.800,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-highline-rueckfahrkamera-diesel-silber-0cd3c06f-33a5-4c34-8b94-248d0de0219d
6,482,30.200,150,2022,Benzin,Automatik,/angebote/volkswagen-passat-variant-business-1-5-tsi-5jgar-app-navi-w-benzin-schwarz-1f470609-38a9-4312-bec6-4cbb099b6788
7,683,25.200,200,2022,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-4m-business-led-navi-pdc-diesel-grau-b691a77d-35c4-4843-ad62-3bc641213258
8,19.610,32.568,150,2018,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-1-5-tsi-act-comfortline-bm-navi-acc-pdc-benzin-schwarz-6403f088-45f4-4bcc-b1a4-a826936b460f
9,27.450,85.241,190,2018,Diesel,Automatik,/angebote/volkswagen-passat-2-0-tdi-scr-4motion-highline-led-kamera-diesel-schwarz-da72fa75-8c3f-41b4-bca8-9d69a0e9f37f
10,17.890,166.121,190,2016,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-2-0-tdi-highline-bmt-r-line-euro-6-diesel-weiss-df10b351-4671-4b9d-ae54-5cbf357401f8
11,17.480,157.500,150,2019,Benzin,Automatik,/angebote/volkswagen-passat-variant-highline-leder-led-ergo-acc-shz-benzin-silber-61fe121e-cb07-4c91-a401-5c98396f8501
12,31.900,66.000,190,2020,Diesel,Automatik,/angebote/volkswagen-passat-2-0-tdi-4motion-r-line-top-ausstattung-diesel-grau-3a1a9f16-a448-4ceb-8d80-ca51a2ce93d5
13,15.990,179.973,150,2017,Diesel,Automatik,/angebote/volkswagen-passat-comfortline-hud-navi-klima-sthz-abst-temp-diesel-weiss-aabb09b9-12a3-4f15-8819-0a1cbe6f5db0
14,20.880,105.139,150,2018,Diesel,Automatik,/angebote/volkswagen-passat-2-0-tdi-highline-navi-kamera-led-dab-diesel-schwarz-9ac4dbab-daf9-4b8e-9425-74800efca8c1
15,16.999,177.108,150,2017,Benzin,Automatik,/angebote/volkswagen-passat-1-4-tsi-highline-dsg-led-navi-acc-leder-benzin-grau-3c2fbe4b-d9cf-40c9-a0ce-f7a050854344
16,349,51.998,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-variant-business-2-0-tdi-dsg-acc-led-lm-diesel-weiss-15246861-1202-4859-9d50-2f9dfd5ed5f4
17,344,27.499,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-variant-elegance-2-0-tdi-dsg-acc-matrix-diesel-grau-fa3eb879-3800-4b2d-8227-5d44da009063
18,339,31.808,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-elegance-acc-matrix-diesel-schwarz-133db1e3-75f2-4411-ac02-5096aa2905d2
19,25.950,69.997,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-silber-01890d7d-d084-48d6-8d75-af4dfee7fcc3
20,26.330,69.079,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-blau-370dfb71-2174-4851-9269-a974e5a636af
21,399,35.530,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-business-dsg-klima-navi-pdc-diesel-silber-102c10f5-ed60-4b60-a199-a057c49fcfb1
22,307,82.123,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-acc-navi-diesel-schwarz-9ecaaba5-0b27-42a2-9244-f43dee6c0df7
23,26.440,64.697,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-silber-991cc6f1-6d40-41f9-b085-faf02f80af3a
24,339,95.647,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-pano-led-diesel-schwarz-d431ba30-b7d2-4693-aee5-08720420a685
25,26.440,66.536,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-silber-eba4e835-fca5-4544-bd61-c8d1af74b125
26,25.950,71.554,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-silber-77825dd7-fd86-489f-9923-20cc375f60e2
27,420,27.600,200,2021,Diesel,Automatik,/angebote/volkswagen-passat-alltrack-2-0-tdi-dsg-4mo-iq-light-standhzg-hk-sou-diesel-schwarz-2fa205c4-4647-4997-94ce-eec7df969ee6
28,425,116.400,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-comfortline-led-acc-navi-diesel-silber-77f27d26-9949-4fc7-8001-b3c7a58d982c
29,26.330,69.454,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-schwarz-62fbed0c-b58d-4de5-afb7-b0c305aebdae
30,26.440,63.639,150,2021,Diesel,Automatik,/angebote/volkswagen-passat-2-0tdi-elegance-nav-acc-shzg-iq-light-ahk-diesel-silber-b7008a35-424e-41db-8f34-4c8300238a5c
31,703,4.500,150,2023,Diesel,Automatik,/angebote/volkswagen-passat-variant-elegance-2-0-tdi-dsg-r-line-pano-diesel-schwarz-0aea3330-7a15-453e-b675-ac2d62ee5b33
32,419,38.900,200,2021,Diesel,Automatik,/angebote/volkswagen-passat-alltrack-2-0-tdi-dsg-4mo-led-navi-pro-acc-dig-coc-diesel-weiss-49cea275-cc71-4da8-bf79-9e8b76fbddf0
