,Price,Km,Power,Year,Gas,Transmission,URL
0,21.450,140.000,150,2019,Diesel,Automatik,/angebote/volvo-v60-d3-momentum-pro-automatik-eu6d-t-led-navi-klima-pd-diesel-schwarz-4dac7f81-9254-4374-86a8-4655beb356ee
1,29.990,106.266,310,2019,Benzin,Automatik,/angebote/volvo-v60-t6-awd-geartronic-inscription-benzin-schwarz-50c20d05-cc7a-496b-a6c2-62a617d8e98f
2,39.990,65.750,341,2020,Elektro/Benzin,-,/angebote/volvo-v60-r-design-plug-in-hybrid-awd-t6-twin-engine-eu6d-t-elektro-benzin-grau-97225340-24e7-47ed-b878-0c2e1edda199
3,32.950,85.150,220,2017,Elektro/Diesel,-,/angebote/volvo-v60-summum-awd-kombi-d6-plug-in-hybird-elektro-diesel-weiss-0adfdcdd-4519-4d55-a20e-7cb4bb2ba3a5
4,31.900,49.200,190,2020,Diesel,Schaltgetriebe,/angebote/volvo-v60-d4-momentum-pro-leder-acc-blis-kamera-diesel-schwarz-b3693163-1347-4b26-98c1-96302d6fd0f0
5,36.800,13.866,197,2022,Diesel,Automatik,/angebote/volvo-v60-plusdark-led-nav-adapttempomat-memory-applecp-diesel-schwarz-bf2ded5f-7708-490e-b396-9b9b03f625c8
6,27.990,97.000,190,2019,Diesel,Automatik,/angebote/volvo-v60-momentum-kombi-diesel-silber-3f0fd05e-ad06-4533-88b6-7126cb9974ec
7,42.950,77.850,303,2020,Elektro/Benzin,-,/angebote/volvo-v60-r-design-recharge-t8-plug-in-hybrid-awd-kombi-elektro-benzin-blau-c706dba4-11c0-4711-a8be-32284fc8927c
8,53.990,54.034,253,2020,Elektro/Benzin,-,/angebote/volvo-v60-t6-r-design-recharge-plug-in-hybrid-awd-elektro-benzin-weiss-7b1ba8ef-6c1b-4032-9810-59e9cba8d9f5
9,45.950,28.000,190,2021,Diesel,Automatik,/angebote/volvo-v60-r-design-awd-kombi-polestar-diesel-grau-8cfb2dfc-5710-4304-9d62-d4391d255ac5
10,62.499,12.500,197,2022,Diesel,Automatik,/angebote/volvo-v60-b4-diesel-kombi-plus-dark-eu6d-led-standhzg-keyles-diesel-silber-e90d2388-ee3e-4e1f-a5cc-a2bf6779f867
11,22.799,107.018,224,2018,Diesel,Automatik,/angebote/volvo-v60-kombi-linje-svart-d5-geartronic-nav-led-pano-diesel-weiss-272393e2-1e52-4739-b2cf-68cfa3d16657
12,34.990,37.412,310,2019,Benzin,Automatik,/angebote/volvo-v60-t6-awd-geartronic-inscription-benzin-grau-20e0ec4f-7b93-4ddf-8c49-3af37409058a
13,37.390,49.742,310,2020,Benzin,Automatik,/angebote/volvo-v60-t6-awd-geartronic-r-design-benzin-weiss-8c44d557-bdf9-4d85-93b0-66998e275be2
14,46.490,17.209,303,2020,Elektro/Benzin,-,/angebote/volvo-v60-t8-awd-twin-engine-geartronic-inscription-elektro-benzin-weiss-3579fd66-1b4a-4959-bb0a-cfc4e4230032
15,59.350,5.232,253,2022,Elektro/Benzin,-,/angebote/volvo-v60-t6-awd-recharge-geartronic-inscription-elektro-benzin-schwarz-3064c20f-20fa-4cda-8401-3440bfa41f49
16,17.000,125.000,190,2016,Diesel,Automatik,/angebote/volvo-v60-v60-d4-awd-geartronic-momentum-diesel-weiss-eb0ccdf5-8cf2-4ec0-921e-f6ccbe37fcaf
17,22.980,90.000,150,2019,Diesel,Automatik,/angebote/volvo-v60-d3-geartronic-momentum-led-virtual-navi-lane-diesel-blau-8dc9ba20-8313-465f-8308-ca3cd92eedd6
18,24.990,123.500,190,2018,Diesel,Schaltgetriebe,/angebote/volvo-v60-momentum-d4-eu6d-t-navi-digitales-cockpit-soundsys-diesel-weiss-62b9adbe-98c2-4618-a58c-90273cbbc420
19,23.900,123.600,190,2019,Diesel,Automatik,/angebote/volvo-v60-kom-momentum-navi-ahk-8-fach-scheckheft-diesel-silber-25dce575-a220-4b09-9c39-0e319600cb7c
20,28.250,72.197,250,2018,Benzin,Automatik,/angebote/volvo-v60-2-0-t5-momentum-aut-tempo-navi-pdc-alu-benzin-rot-82b84f6b-03ac-4176-bd41-596924bccebf
21,13.999,250.000,150,2019,Diesel,Schaltgetriebe,/angebote/volvo-v60-kombi-momentum-d3-1-hand-8-fach-alu-led-diesel-schwarz-7a3b89e7-19b3-4571-890d-cf0f56bf3b7f
22,39.790,68.250,392,2020,Elektro/Benzin,-,/angebote/volvo-v60-r-design-plug-in-hybrid-awd-t8-twin-engine-eu6d-t-elektro-benzin-grau-079a5592-1f91-4f7e-845a-ba06f4f1e813
23,41.500,36.000,310,2018,Benzin,Automatik,/angebote/volvo-v60-v-60-t6-awd-inscription-geartronic-euro-6d-temp-benzin-grau-1d4e6875-87f9-43be-8556-1c2c801db5c7
24,17.950,125.250,150,2017,Diesel,Automatik,/angebote/volvo-v60-linje-svart-kombi-diesel-weiss-54d6f736-65b8-4117-a6ed-1dcaa0328723
25,14.840,159.600,190,2016,Diesel,Schaltgetriebe,/angebote/volvo-v60-v60-d4-kinetic-diesel-schwarz-5be020af-b63f-4bc2-a6b5-92bc64007b90
26,23.500,155.000,150,2019,Diesel,Automatik,/angebote/volvo-v60-inscription-pano-head-up-h-k-sound-360-acc-diesel-weiss-28e2382c-3542-4e2d-9064-26657a43e753
27,24.330,42.824,150,2019,Diesel,Schaltgetriebe,/angebote/volvo-v60-d3-momentum-ahk-panorama-kamera-usb-diesel-weiss-7ac7af1a-5f18-4566-a978-8df5a7a2396c
28,25.900,177.700,190,2019,Diesel,-,/angebote/volvo-v60-d4-awd-inscription-geartronic-diesel-weiss-649d5dc8-a689-4751-8f72-6870b0f15ff0
29,24.900,120.000,190,2019,Diesel,Automatik,/angebote/volvo-v60-momentum-kombi-diesel-schwarz-c6518020-0d40-4598-95b7-cdd0e475f13a
30,32.690,40.048,150,2020,Diesel,Automatik,/angebote/volvo-v60-d3-geartronic-inscription-diesel-grau-d70035b1-154b-494d-91b7-742690f82e2a
31,35.490,56.600,200,2020,Diesel,Automatik,/angebote/volvo-v60-d4-awd-massagesitze-acc-polestar-sd-diesel-schwarz-79bd41b9-e6ce-4e47-b0e3-1a81feef1dbe
32,30.930,97.603,190,2020,Diesel,Automatik,/angebote/volvo-v60-d4-awd-geartronic-inscription-diesel-schwarz-51f48a06-65c8-446c-bf73-f89cf535b6c8
33,29.990,27.990,150,2018,Diesel,Schaltgetriebe,/angebote/volvo-v60-momentum-d3-eu6d-t-navi-digitales-cockpit-soundsys-diesel-silber-e141a519-2549-4725-bf93-ecb429a10166
34,29.900,58.521,190,2019,Diesel,Automatik,/angebote/volvo-v60-momentum-awd-kombi-diesel-blau-7b667efc-dfc0-4f4d-a61b-460bc9cc4037
35,28.990,75.000,150,2018,Diesel,Automatik,/angebote/volvo-v60-d3-linje-svart-leder-kamera-xenon-navi-eu6-diesel-weiss-f4f242e3-a759-412a-9284-ccfb80121e9b
36,33.980,67.000,341,2020,Elektro/Benzin,50 km,/angebote/volvo-v60-t6-awd-recharge-geartronic-r-design-intellisafe-elektro-benzin-schwarz-26ab645a-3bdb-4683-b630-27977dde7d6e
37,36.490,73.366,303,2019,Elektro/Benzin,-,/angebote/volvo-v60-t8-awd-twin-engine-geartronic-inscription-elektro-benzin-weiss-d4300442-35af-44fd-ab5c-414d868d226c
38,37.865,61.300,190,2019,Diesel,Automatik,/angebote/volvo-v60-d4-r-design-eu6d-t-navi-digitales-cockpit-soundsys-diesel-grau-62089abf-1a62-447a-82d3-e2a53f61d58c
39,35.900,42.730,250,2020,Benzin,Automatik,/angebote/volvo-v60-inscription-kombi-benzin-grau-3b9c145c-7568-4192-bf90-5baac19d4cce
40,33.900,18.200,250,2019,Benzin,Automatik,/angebote/volvo-v60-inscription-kombi-benzin-weiss-249f12d7-afb9-4bd4-9ded-c0c3611f4798
41,37.999,39.949,200,2019,Diesel,Automatik,/angebote/volvo-v60-2-0-r-design-d4-awd-aut-navi-cam-shz-acc-car-diesel-schwarz-ae8794aa-67f2-42d9-bcf6-d5767abcf165
42,32.490,24.349,190,2020,Benzin,Automatik,/angebote/volvo-v60-t4-geartronic-r-design-benzin-weiss-6b032846-c851-405d-b774-826f6db75fa7
43,36.900,75.448,253,2020,Elektro/Benzin,-,/angebote/volvo-v60-t6-awd-recharge-geartronic-inscription-express-elektro-benzin-schwarz-47847c56-f524-44f0-a868-dc4a619d63b0
44,37.990,39.250,190,2020,Diesel,Automatik,/angebote/volvo-v60-inscription-awd-d4-eu6d-t-allrad-ahk-navi-leder-di-diesel-schwarz-fbd3e86e-e1fe-4894-809e-b76fe2f86c6d
45,39.920,26.471,341,2020,Elektro/Benzin,-,/angebote/volvo-v60-t6-awd-r-design-plug-in-hybrid-253-ps-87-ps-elektro-benzin-silber-615fe272-48a1-4f09-917f-0f1ab2d65693
46,37.199,25.000,250,2020,Benzin,Automatik,/angebote/volvo-v60-b5-8-gang-geartronic-momentum-pro-benzin-schwarz-8f9e3b5d-0460-4a95-a6d1-1dc1c23041e2
47,37.990,58.500,190,2020,Diesel,Automatik,/angebote/volvo-v60-r-design-d4-eu6d-t-navi-digitales-cockpit-memory-s-diesel-rot-e7698b06-f9d5-44d6-9e1b-7730e271b00f
48,32.990,56.000,253,2019,Benzin,Automatik,/angebote/volvo-v60-t5-inscription-acc-standheizung-polestar-benzin-grau-aedaa93d-bfd2-4701-9a78-ad362c4d98dc
49,43.900,61.500,303,2020,Elektro/Benzin,-,/angebote/volvo-v60-t8-awd-geartronic-inscription-plug-in-hybrid-elektro-benzin-blau-8c0b562f-6ce5-468d-9ac9-ca25c7dc3eda
50,32.300,45.300,190,2019,Benzin,Automatik,/angebote/volvo-v60-t4-inscription-geartr-4-pakete-iss-standh-benzin-rot-96504700-3bbb-47af-ac87-e727ce9344d7
51,34.900,25.000,197,2021,Diesel,Automatik,/angebote/volvo-v60-inscription-kombi-diesel-grau-de8ee979-a188-4c44-945d-c8992dbb228e
52,43.690,44.163,303,2020,Elektro/Benzin,-,/angebote/volvo-v60-t8-awd-recharge-geartronic-rdesign-elektro-benzin-schwarz-b3f4c676-74a7-42e4-a3b1-0c4d53acd022
53,35.610,50.961,190,2020,Benzin,Automatik,/angebote/volvo-v60-inscription-benzin-grau-f98af316-9dfc-4ce5-859f-48ac57dc5e70
54,38.990,32.500,250,2019,Benzin,Automatik,/angebote/volvo-v60-r-design-t5-eu6d-t-hud-ahk-navi-digitales-cockpit-benzin-rot-ff1710bd-249b-458a-a251-360915719471
55,36.990,59.250,190,2020,Diesel,Automatik,/angebote/volvo-v60-r-design-d4-eu6d-t-hud-navi-digitales-cockpit-soun-diesel-weiss-63572ce7-e41a-4565-b381-744a6f538f55
56,31.988,26.100,163,2021,Benzin,Automatik,/angebote/volvo-v60-b3-momentum-pro-my22-led-winterp-privg-ehk-benzin-weiss-4f430fd9-acda-4a37-998c-e48d1f3ff8d8
57,41.990,24.500,253,2020,Elektro/Benzin,-,/angebote/volvo-v60-inscription-expression-recharge-plug-in-hybrid-awd-elektro-benzin-weiss-57f89615-df81-4814-a6e3-90c6049d26b0
58,42.990,24.700,253,2020,Benzin,Automatik,/angebote/volvo-v60-t6-r-design-plug-in-hybrid-awd-acc-standhz-benzin-weiss-8478979d-06c3-41a0-af3f-b2915b712ed5
59,54.890,3.520,197,2022,Elektro/Benzin,-,/angebote/volvo-v60-plus-dark-elektro-benzin-silber-be527984-a273-4b66-b09f-670dc1423c52
60,41.490,25.300,341,2021,Elektro/Benzin,-,/angebote/volvo-v60-t6-awd-recharge-plug-in-head-up-acc-four-c-elektro-benzin-blau-e9e04e4b-45a4-46bf-920d-ce076663b376
61,53.688,10,197,2023,Diesel,Automatik,/angebote/volvo-v60-b4-d-ultimate-dark-aut-pano-hud-winterp-20z-diesel-schwarz-f92c602d-6976-46f4-8a2e-0559f9703223
62,43.900,6.000,197,2022,Benzin,Automatik,/angebote/volvo-v60-b4-p-plus-dark-acc-blis-google-my23-benzin-grau-b7643240-d0c9-4c78-9fc9-bbbda066fbe4
63,42.500,9.999,163,2022,Benzin,Automatik,/angebote/volvo-v60-core-b3-benzin-eu6d-keyless-e-sitze-rueckfahrkam-f-benzin-schwarz-4850db83-cec9-4a10-ad02-7c971e9571f0
64,42.530,36.990,341,2020,Elektro/Benzin,54 km,/angebote/volvo-v60-t6-recharge-geartronic-awd-ahk-intellisafe-pro-elektro-benzin-weiss-82e95266-0ba9-44fe-9243-6eddeaeda9a8
65,42.900,66.000,253,2020,Benzin,Automatik,/angebote/volvo-v60-t6-inscription-plug-in-hybrid-awd-benzin-schwarz-a4d15bd0-38fd-4570-a9db-56ee82384914
66,39.990,19.000,197,2022,Diesel,Automatik,/angebote/volvo-v60-b4-r-design-autom-standheizung-kamera-acc-diesel-weiss-d06b78c8-3b50-4d43-b555-fb75c3673e78
67,27.500,49.000,190,2019,Diesel,Automatik,/angebote/volvo-v60-d4-geartronic-momentum-diesel-weiss-d325e875-b9a8-449a-aab4-33a125be0ab4
68,37.990,51.750,250,2020,Benzin,Automatik,/angebote/volvo-v60-r-design-t5-eu6d-t-ahk-navi-digitales-cockpit-soun-benzin-grau-d527b6ac-652c-4843-8866-b1382245a035
69,54.090,9.999,197,2022,Diesel,Automatik,/angebote/volvo-v60-plus-dark-b4-diesel-eu6d-led-keyless-kurvenlicht-e-diesel-beige-5251ecc2-890c-464a-930a-bb867e31dab1
70,28.880,69.100,190,2018,Diesel,Automatik,/angebote/volvo-v60-d4-geartr-momentum-leder-navi-pano-led-rfk-diesel-blau-0bbbb3d7-ceb9-4be0-8a00-3267b4687a4d
