,Price,Km,Power,Year,Gas,Transmission,URL
0,28900,133585,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8PqhCO.html
1,25900,106900,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PfgsF.html
2,26990,76251,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PoGmV.html
3,49950,28000,190,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-quattro-s-line-s-tronic-ID8PlHVW.html
4,26500,75708,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PrpFg.html
5,24700,117263,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-ID8Pn8VL.html
6,30500,141742,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8Pfirl.html
7,49950,62000,190,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-s-line-s-tronic-ID8PmYQF.html
8,27500,168000,190,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-ID8PbjZG.html
9,28450,80000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PrWxK.html
10,22500,183844,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8PqMIr.html
11,20750,185000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-ID8Pm5W1.html
12,26000,84000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PrWz7.html
13,23990,189000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Ptj7u.html
14,31490,132000,163,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Ptj6F.html
15,21990,148980,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-ID8PqMrE.html
16,21900,213000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-ID8Pl0LA.html
17,24990,169000,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8OZoSe.html
18,20250,203540,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8PsxGD.html
19,26890,161000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PrRTO.html
20,34998,93000,136,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-30-tdi-s-tronic-ID8PrUJ8.html
21,32200,52088,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PtiC1.html
22,17500,195000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8Ppvaz.html
23,23750,169000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Psfth.html
24,34900,99900,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-sport-s-tronic-ID8Pm9lX.html
25,22750,158000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PsGaL.html
26,28790,82900,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8Ps6LG.html
27,24500,163695,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PoajG.html
28,25600,66818,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ID8PsNsm.html
29,20900,170000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8PoCQL.html
30,26950,140808,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PoalJ.html
31,17990,270000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-ID8PmzFZ.html
32,27900,148776,190,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-ID8PpiN3.html
33,38250,109000,190,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-s-line-s-tronic-ID8Pl82R.html
34,18490,204007,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PmuKo.html
35,26500,165500,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8Pr4yv.html
36,28500,46678,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Ps1bP.html
37,27990,110000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Pr4C1.html
38,24900,122000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8PmsdB.html
39,19900,266833,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8PrGdn.html
40,28999,53000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PeRWf.html
41,28250,83249,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PqfoP.html
42,28400,98000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Psu5m.html
43,27350,97000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8Psu5k.html
44,32490,62000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Pth4E.html
45,23900,197979,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8Pk5ae.html
46,34490,88911,163,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-advanced-s-tronic-ID8PqWWL.html
47,27950,113625,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ID8PndAL.html
48,21990,129000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8PssPr.html
49,28900,50000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8Pq7zn.html
50,37750,145000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-s-line-s-tronic-ID8Psq5t.html
51,29350,127000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-ID8PluPb.html
52,37990,141975,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8PaLxR.html
53,22950,128300,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-sport-ID8P8vzn.html
54,23599,136975,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PsLmz.html
55,24900,117000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8PqJB4.html
56,26990,70200,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PtfWK.html
57,28490,136220,1,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8PbbIK.html
58,29450,135000,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8PnCQQ.html
59,21900,180000,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-multitronic-exclusive-ID8Pivlb.html
60,27500,135571,190,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-quattro-sport-s-tronic-ID8PtfOZ.html
61,21900,194500,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8PtfNl.html
62,20750,153968,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8PsKTN.html
63,26990,76989,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PpFe4.html
64,22850,148201,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8PeL8Z.html
65,26900,154532,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8PqdiN.html
66,23500,150000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8Ps46u.html
67,25700,152000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PnQcy.html
68,29990,192523,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-quattro-advanced-s-tronic-ID8PeZQN.html
69,19990,260000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-sport-ID8Ps2ec.html
70,34999,99000,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8Pk2Ex.html
71,24990,170000,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8PrBVn.html
72,23890,106138,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PpOce.html
73,27990,46000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-sport-ID8Psda2.html
74,22950,152871,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Pn00S.html
75,27980,74000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8P54yo.html
76,23750,143000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-sport-ID8PsZge.html
77,23000,53000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ID8Pst9U.html
78,25500,150000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8Pmz3H.html
79,27750,140031,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Pnf5q.html
80,29990,178000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8PruEL.html
81,23900,173000,122,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8Psf0x.html
82,25500,138000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PpFnb.html
83,29990,95052,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PhsbW.html
84,23900,165657,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PgdgG.html
85,25900,76279,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-ID8PtdJ2.html
86,28399,67542,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PnO0S.html
87,28990,139800,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-sport-s-tronic-ID8PqGjE.html
88,24500,189000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8Ps3eH.html
89,49750,22000,163,2022,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8PsXXu.html
90,28990,151334,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8PjWBQ.html
91,28300,160000,190,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8Pqr53.html
92,24750,106084,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PqDMM.html
93,23450,171000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8Ptb27.html
94,34900,76000,163,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-advanced-s-tronic-ID8PpvTM.html
95,22999,160000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8PsXeY.html
96,28990,72450,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PdAax.html
97,24990,115000,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ultra-ID8Prpj4.html
98,25990,145000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ultra-s-tronic-ID8Prsmy.html
99,32900,74000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PpqRy.html
100,26900,104000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ID8Pax1v.html
101,29900,83000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Pi0QH.html
102,19900,150000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-sport-ID8Pta0C.html
103,28990,79000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8Psq1R.html
104,30990,89391,163,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PoFcl.html
105,24950,111000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PrLH4.html
106,20850,177845,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-exclusive-ID8Pm1pZ.html
107,18990,245086,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PoMXS.html
108,47490,25000,163,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-advanced-s-tronic-ID8Psb2W.html
109,31490,105000,163,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PsnX6.html
110,25600,93000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8Pt9fj.html
111,28900,102737,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-sport-s-tronic-ID8Pebaj.html
112,28900,99000,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PledF.html
113,27999,139001,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8PfhxR.html
114,24800,107602,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8Prish.html
115,31900,100614,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-quattro-s-line-s-tronic-ID8PrfNg.html
116,27990,100000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8Prj8w.html
117,21490,197574,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PrHBi.html
118,31490,81100,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PsaUu.html
119,27900,73489,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8Pt92N.html
120,23290,208866,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PolR9.html
121,24900,118000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Pt8SO.html
122,31900,75645,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PkJ45.html
123,33900,50000,136,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-30-tdi-advanced-s-tronic-ID8Pt8GZ.html
124,22900,194000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8PsP7S.html
125,25990,77709,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ID8Pk8bm.html
126,32990,138470,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-40-tdi-s-line-s-tronic-ID8Pq93k.html
127,25950,165000,136,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-ID8PrFel.html
128,21990,177000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-design-ID8PndYo.html
129,27950,185000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-ID8PndYB.html
130,31990,148200,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8PszkX.html
131,26500,46000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PstqX.html
132,19490,244465,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8Pok1G.html
133,17250,245000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-sport-ID8Psb7T.html
134,42950,56015,136,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-30-tdi-s-tronic-ID8Ppo9L.html
135,26000,102000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-ID8OTAQU.html
136,33900,52300,163,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PpxEN.html
137,26990,104631,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-s-tronic-ID8PqFj2.html
138,24300,197000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-design-s-tronic-ID8Pne7f.html
139,31990,93140,163,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-advanced-s-tronic-ID8PqFiW.html
140,31490,64462,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PqFgd.html
141,49990,32228,163,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-s-line-s-tronic-ID8PqFfN.html
142,19950,228000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-business-line-ID8Pstrm.html
143,26000,107000,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8Pt3mK.html
144,16500,230000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-exclusive-ID8PqiXK.html
145,54490,9722,163,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-35-tdi-advanced-s-tronic-ID8Ps045.html
146,32950,71367,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PpZqO.html
147,17390,210054,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PodVK.html
148,25950,194393,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-line-s-tronic-ID8Ppipb.html
149,31950,71256,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PsjR5.html
