,Price,Km,Power,Year,Gas,Transmission,URL
0,25000,137000,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-318-d-touring-auto-ID8PsVdQ.html
1,23800,104420,163,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-320-d-touring-ed-line-sport-auto-ID8PmuNs.html
2,49990,105000,265,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-330-d-touring-pack-m-auto-ID8PpOiH.html
3,42700,21981,190,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-320-gran-turismo-d-pack-m-auto-ID8PdvSS.html
4,33990,93132,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-320-d-touring-line-sport-shadow-auto-ID8PsplF.html
5,59990,1334,293,2022,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/bmw-330-e-pack-m-auto-ID8PnP3W.html
6,24990,128390,190,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/bmw-320-d-ID8PqOaP.html
7,32650,120000,190,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/bmw-320-d-touring-xdrive-pack-m-ID8PiPsd.html
8,19500,127000,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-318-d-touring-line-sport-auto-ID8Pst5t.html
9,31990,199930,190,2020,Diesel,Manual,https://www.standvirtual.com/anuncio/bmw-320-d-m-sport-ID8PpfRz.html
10,24900,140011,190,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/bmw-320-d-advantage-ID8PiCoc.html
11,46900,16000,204,2022,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/bmw-320-ID8Pq2lR.html
12,41450,21700,293,2019,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/bmw-330-e-line-sport-auto-ID8PlaNb.html
13,25900,176961,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-320-d-touring-pack-m-auto-ID8Pqfyz.html
14,47500,45093,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-320-d-touring-line-luxury-auto-ID8PrdS9.html
15,22900,138100,190,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/bmw-320-gran-turismo-d-line-sport-ID8PsKKY.html
16,25900,78900,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-318-d-touring-advantage-auto-ID8PlIeh.html
17,24600,104500,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-318-d-advantage-auto-ID8PsKHQ.html
18,21450,109000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/bmw-318-d-advantage-ID8PsQEc.html
19,27990,114000,224,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-325-d-touring-line-sport-auto-ID8Pg21b.html
20,31490,132733,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-318-d-touring-line-sport-auto-ID8Pkwnr.html
21,29990,93750,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/bmw-320-d-pack-m-auto-ID8PkrnZ.html
