,Price,Km,Power,Year,Gas,Transmission,URL
0,29900,204000,204,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-250-d-amg-line-aut-ID8Ppj5R.html
1,44800,51200,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-de-amg-line-ID8PsIbE.html
2,28900,170000,122,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-amg-line-aut-ID8PpHCT.html
3,31900,102891,194,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PoSrv.html
4,36990,55822,170,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-aut-ID8Pdlmv.html
5,56750,35000,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-ID8PkQ93.html
6,27850,154000,116,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-amg-line-aut-ID8Pd2k5.html
7,33990,67586,122,2021,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-business-solutions-ID8PpH86.html
8,58490,36000,265,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-d-amg-line-ID8PqOgI.html
9,62900,76000,390,2018,Gasolina,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-43-amg-4-matic-ID8Pn5CK.html
10,59700,15770,265,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-station-d-9g-tronic-amg-line-ID8Pt3Q8.html
11,27000,178500,170,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PprG3.html
12,56900,42081,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-ID8Pjklz.html
13,34980,142529,170,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-aut-ID8PlI8h.html
14,37900,147000,204,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-250-d-ID8PsN95.html
15,43900,91400,306,2020,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-de-amg-line-ID8PnolU.html
16,34900,106000,122,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-amg-line-aut-ID8PmYMt.html
17,41999,129000,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-de-amg-line-ID8PmIfy.html
18,56000,23500,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhW9.html
19,56000,23100,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhUX.html
20,68800,20900,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-4matic-all-terrain-ID8PrhUW.html
21,45500,50600,160,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-200-d-avantgarde-aut-ID8Plkil.html
22,45990,51100,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PkPUN.html
23,60000,27500,200,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-ID8PsiJu.html
24,56000,30000,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhSM.html
25,61500,15900,265,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-ID8PrhRY.html
26,35000,117575,170,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-aut-ID8PrhTY.html
27,56000,28500,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhSY.html
28,41000,35500,194,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhQr.html
29,41000,31600,194,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhQk.html
30,49990,22442,194,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PdA7V.html
31,30000,165000,204,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-250-d-amg-line-4-matic-aut-ID8PokFS.html
32,34450,125000,170,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-amg-line-aut-ID8PkhLg.html
33,54800,20849,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PsMYG.html
34,46000,47079,306,2021,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-de-amg-line-ID8PsGbD.html
35,66600,38000,265,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-ID8PrhT7.html
36,21950,150000,116,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-d-exclusive-ID8PqJK9.html
37,22500,175000,116,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-180-bluetec-avantgarde-aut-ID8PrqHj.html
38,56000,25400,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PrhT4.html
