,Price,Km,Power,Year,Gas,Transmission,URL
0,33900,89700,194,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PrEuK.html
1,48990,39769,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PrqGd.html
2,30950,120000,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PsxLH.html
3,33990,48030,194,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-ID8Pt3d6.html
4,55990,53443,306,2020,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-avantgarde-ID8OZTbb.html
5,68000,21292,306,2022,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8PssU3.html
6,51700,38200,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-line-ID8Psb0n.html
7,76500,33000,435,2019,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-53-amg-4-matic-ID8PqcPf.html
8,27900,166100,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-200-d-t-9g-tronic-ID8Pt4Aj.html
9,39900,154534,340,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-400-d-amg-ID8PibkS.html
10,52490,30277,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8Pep03.html
11,59950,87000,245,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-d-cabrio-9g-tronic-amg-line-ID8PrOUI.html
12,33900,189000,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8Pstsy.html
13,35990,116754,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-exclusive-ID8Pt4zJ.html
14,48950,47000,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8Pr34U.html
15,39990,109000,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-avantgarde-ID8Psu2j.html
16,35900,163053,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-ID8PiCoe.html
17,53990,60000,194,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-line-ID8PkJtN.html
18,44900,80800,194,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-7l-ID8P4Z3r.html
19,39400,103000,163,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-ID8PsfRM.html
20,72000,12148,306,2022,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-avantgarde-ID8PrhUL.html
21,67700,6600,306,2022,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8PrhUw.html
22,70800,14300,306,2022,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8PrhUf.html
23,45000,84500,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8PrhUh.html
24,52900,38000,306,2020,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-avantgarde-ID8Prb1a.html
25,38490,147858,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-ID8Pmdhl.html
26,45250,55353,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8PsMDm.html
27,39990,97000,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-line-7l-ID8Psa35.html
28,53850,38646,306,2020,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-amg-line-ID8PrioS.html
29,25950,222000,204,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-250-bluetec-avantgarde-auto-ID8Pq8qR.html
30,65900,24577,194,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-line-ID8PdtIQ.html
31,34990,146904,204,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-250-d-auto-ID8PqMAR.html
32,37980,76000,194,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8Ps4zV.html
33,33900,139000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-200-d-avantgarde-ID8PmDGt.html
34,24900,237000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-200-d-exclusive-ID8PsgIS.html
35,52490,36745,306,2019,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-300-de-avantgarde-ID8Pix9I.html
36,66990,13463,200,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-amg-line-ID8PoJdT.html
37,30000,122000,194,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PssZA.html
