,Price,Km,Power,Year,Gas,Transmission,URL
0,14850,185000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-style-ID8PrPEo.html
1,23000,29000,115,2020,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-ID8PrbAR.html
2,14900,213000,110,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-ambition-ID8PqKXU.html
3,25900,46486,184,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-rs-ID8PrCiq.html
4,29900,148579,184,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-rs-dsg-ID8PsLkM.html
5,16470,117087,110,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-ID8PgBii.html
6,15450,156451,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-ID8PpFqp.html
7,19900,168223,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-style-dsg-ID8Psfmh.html
8,17800,97560,115,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-ID8PssNH.html
9,25990,43450,116,2021,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-ID8PrcgO.html
10,17400,173000,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-ambition-ID8Plet4.html
11,10290,291341,110,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-ambition-ID8Pr9nv.html
12,15990,183035,115,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-ambition-dsg-ID8PkqBG.html
13,14990,201300,115,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-ambition-dsg-ID8PkFtj.html
14,19950,153000,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-style-ID8PsVcK.html
15,40900,17000,150,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-style-dsg-ID8PsC94.html
16,18500,159000,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-ambition-ID8PkSpp.html
17,18990,109000,115,2019,Gasolina,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-0-tsi-tour-ID8PseZx.html
18,41490,6300,150,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-style-dsg-ID8PrR3t.html
19,15700,172724,115,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-dsg-ID8PnX5U.html
20,17490,161409,115,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-ID8PjWhA.html
21,15980,161582,115,2018,Gasolina,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-0-tsi-style-ID8PneCg.html
22,14980,166000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-style-ID8PsPxT.html
23,34990,1,150,2023,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-ambition-dsg-ID8PsNTd.html
24,18900,119000,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-6-tdi-style-ID8PrS0o.html
25,38490,14500,150,2022,Diesel,Manual,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-sportline-ID8PseeD.html
26,21990,29360,115,2018,Gasolina,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-1-0-tsi-ambition-dsg-ID8PqGoz.html
27,17500,158000,115,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-ID8PiYym.html
28,29900,148579,184,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/skoda-octavia-break-2-0-tdi-rs-dsg-ID8Prgxb.html
