,Price,Km,Power,Year,Gas,Transmission,URL
0,30490,139440,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-geartronic-ID8Pletl.html
1,35800,90000,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-plus-geartronic-ID8PqMcL.html
2,38800,90000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8Pl9aJ.html
3,18250,130000,120,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-summum-geartronic-ID8PqZuB.html
4,61500,37500,392,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t8-awd-te-r-design-ID8PsMwb.html
5,46000,60781,340,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t6-awd-te-inscription-expression-ID8PsMuI.html
6,49900,56100,392,2019,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t8-awd-te-inscription-ID8Ppjhr.html
7,27300,115000,286,2016,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-4-d6-momentum-awd-phev-ID8PoH3n.html
8,39500,65000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-r-design-geartronic-ID8PsPhu.html
9,47500,22100,392,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t8-awd-te-inscription-ID8PrPeD.html
10,31900,120600,286,2018,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-4-d6-r-design-awd-phev-ID8OnWe7.html
11,41500,77500,340,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t6-awd-te-r-design-ID8PsKwv.html
12,19990,90500,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-drive-ID8PrHAU.html
13,38600,98450,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8PqlHN.html
14,22000,81600,286,2016,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-4-d6-momentum-awd-phev-ID8Pn17h.html
15,30900,99900,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-geartronic-ID8PsjYO.html
16,21900,107000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-ID8PeSPY.html
17,21499,152200,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-ID8Pd3bM.html
18,31500,130000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-plus-geartronic-ID8Pmqbf.html
19,23900,99000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-ID8Phxz3.html
20,26490,133934,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-geartronic-ID8PsBdO.html
21,40780,46246,197,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-b4-momentum-geartronic-ID8PrLZL.html
22,28990,129000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-geartronic-ID8PqQxA.html
23,44500,89000,392,2019,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t8-awd-te-inscription-ID8PsLgt.html
24,27950,155300,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-inscription-geartronic-ID8PoArc.html
25,29900,197004,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-r-design-geartronic-ID8PsARn.html
26,33750,100000,150,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-ID8Pcj8E.html
27,19900,194500,286,2016,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-ID8PrpwG.html
28,17250,150000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-ID8PpfTL.html
29,16950,168301,120,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-ID8Pt35y.html
30,16950,235000,190,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-ID8PiWrU.html
31,26999,137786,286,2017,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-4-d6-r-design-awd-phev-ID8Ps1tw.html
32,22990,115000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-d3-geartronic-summum-ID8Pt2Ef.html
33,26750,178000,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8PrC11.html
34,25990,79000,120,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-geartronic-ID8PsKx1.html
35,42990,35000,197,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-b4-momentum-core-geartronic-ID8PlUr0.html
36,26990,80715,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-ID8PssSR.html
37,49800,30000,340,2021,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t6-awd-te-inscription-expression-ID8PkP0Q.html
38,21199,85645,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-ID8PnN7S.html
39,36300,149000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-ID8PsZDA.html
40,52800,6500,350,2022,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-ID8PsZDp.html
41,40780,48071,197,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-b4-momentum-geartronic-ID8PrOPO.html
42,43500,51900,340,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t6-awd-te-r-design-expression-ID8PsZsq.html
43,34800,67000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-geartronic-ID8PsZyX.html
44,37800,135000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8PsZxx.html
45,29000,86206,190,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-ID8PsZvY.html
46,32800,264000,190,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-plus-geartronic-ID8PjprF.html
47,76900,9991,455,2022,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-t8-awd-te-polestar-engineered-ID8PoFJe.html
48,55800,25100,350,2022,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/volvo-v60-ID8PsYo5.html
49,28750,119000,150,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-plus-ID8Psd8l.html
50,27490,88702,286,2018,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-4-d6-momentum-awd-phev-ID8PqzQQ.html
51,42900,19000,197,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-b4-momentum-geartronic-ID8Ps3cF.html
52,24900,195000,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-ID8PlhKn.html
53,32800,160000,190,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8PnCve.html
54,29900,100000,150,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-geartronic-ID8Pse6p.html
55,21300,134454,120,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-momentum-geartronic-ID8Pne5h.html
56,23500,90000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d2-vor-ID8Pd6ym.html
57,31500,108542,150,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-summum-ID8PbdWC.html
58,34800,140000,190,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-geartronic-ID8PmYJa.html
59,22950,168355,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-ID8Plil4.html
60,16950,194000,190,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d4-momentum-geartronic-ID8PqcDb.html
61,21990,122000,286,2016,Híbrido(Diesel),Automática,https://www.standvirtual.com/anuncio/volvo-v60-2-4-d6-r-design-mom-awd-phev-ID8Psg14.html
62,27800,108000,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/volvo-v60-2-0-d3-momentum-ID8PoZNV.html
