,Price,Km,Power,Year,Gas,Transmission,URL
0,18000,107100,115,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PmMhF.html
1,18750,80000,115,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PqRMs.html
2,20250,79369,115,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8Pm5s6.html
3,19900,106000,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PsV8a.html
4,17900,110000,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8Ptj1j.html
5,16900,139000,110,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-gps-edition-ID8Ptjsl.html
6,19500,122500,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-r-line-ID8Ptjhk.html
7,20450,90000,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PtiZC.html
8,12500,249772,110,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-gps-edition-ID8PtiW8.html
9,17950,180000,115,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PtiP3.html
10,16490,123513,110,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-gps-edition-ID8PrRgk.html
11,21990,75249,115,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PsQHJ.html
12,20300,96278,115,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PsPVT.html
13,21500,78600,150,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-2-0-tdi-confortline-ID8PsPBz.html
14,31900,46757,115,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-golf-variant-2-0-tdi-life-dsg-ID8PtjvG.html
15,16950,178950,115,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PteSX.html
