,Price,Km,Power,Year,Gas,Transmission,URL
0,37900,53443,150,2021,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-ID8Posv2.html
1,21500,169500,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PqQtc.html
2,14900,264725,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-highline-ID8PpHVd.html
3,19900,133923,120,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-dsg-ID8PltE2.html
4,17950,168613,120,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-dsg-ID8P7lxp.html
5,16500,160000,120,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-bluemotion-technology-dsg-comfortline-ID8PrWmD.html
6,21990,93800,120,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-dsg-ID8PrkAs.html
7,18990,137156,120,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-dsg-ID8PnPuN.html
8,15490,209318,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8Prgv0.html
9,19900,112000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PrEhR.html
10,27490,42677,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-package-dsg-ID8Pt443.html
11,18950,156735,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-highline-ID8PrEdQ.html
12,17250,130389,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PsFQc.html
13,21990,117583,120,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8Prx56.html
14,42490,28504,150,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-r-line-dsg-ID8Pr4mF.html
15,23490,152469,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-package-dsg-ID8Pr4kE.html
16,21990,156367,120,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-highline-ID8PqFvX.html
17,24490,127917,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-package-dsg-ID8PqFvz.html
18,18900,110000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8Prifo.html
19,20799,66806,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8Pt3xs.html
20,22490,99300,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-package-dsg-ID8Ps3ye.html
21,18390,182000,150,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PrPLq.html
22,16990,176855,120,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PrfIr.html
23,21750,115000,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PqADk.html
24,20990,181214,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PnVfO.html
25,17990,164100,120,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PndrJ.html
26,18900,133000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8PoHem.html
27,20500,139000,120,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-ID8Psc5W.html
28,20500,145361,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PckOc.html
29,25000,190000,240,2016,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-highline-dsg-4motion-ID8PsfYu.html
30,16500,117000,120,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PqRHQ.html
31,18990,134125,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8Pne2f.html
32,22750,179000,218,2018,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8Pt3hM.html
33,35290,18000,218,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PqRMU.html
34,19500,202326,150,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8Pt3hi.html
35,22750,58000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PprBG.html
36,19990,157000,120,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8Pl5YI.html
37,21800,110911,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-highline-ID8PbsIW.html
38,23790,85877,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-highline-ID8Pi5UO.html
39,27900,109000,120,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-highline-dsg-ID8PpiFL.html
40,18999,83000,150,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-dsg-ID8PsKzY.html
41,19950,121630,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PjpJp.html
42,22999,108453,120,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-dsg-ID8Pt0Zr.html
43,14950,146000,120,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-bluemotion-ID8Pt0fr.html
44,19950,117000,120,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PsXSs.html
45,29950,130000,218,2018,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8Pmz03.html
46,19500,127200,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8PsKci.html
47,37990,27859,218,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PssN5.html
48,24790,96470,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-package-dsg-ID8PsrQ9.html
49,19950,120000,120,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-business-dsg-ID8PsYJw.html
50,16900,137800,120,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PsIJY.html
51,17450,180067,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8Pss1U.html
52,26450,140000,120,2019,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-dsg-ID8Pk3vt.html
53,18899,136178,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8PsXTv.html
54,22499,134990,218,2016,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PoHYK.html
55,39990,20755,218,2021,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8Ps2YO.html
56,19999,115450,120,2018,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8Pr7A8.html
57,20950,155000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-highline-dsg-ID8PsG3P.html
58,16990,185716,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-bluemotion-ID8PpoDY.html
59,24900,146000,120,2020,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-business-dsg-ID8Pq0dl.html
60,22490,102000,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PniQO.html
61,16490,203587,150,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8Psmb3.html
62,17990,244000,150,2018,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-highline-dsg-ID8Ps4vv.html
63,18900,75712,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-trendline-ID8PsVQ8.html
64,19900,78061,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PsG2T.html
65,37990,15845,218,2021,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PrLT0.html
66,19980,83000,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8PsoZL.html
67,17799,164171,150,2016,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8PmY7p.html
68,20500,70500,120,2017,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-1-6-tdi-trendline-ID8PnO0Z.html
69,18450,178534,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PrLrf.html
70,34990,23287,122,2022,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-business-dsg-ID8PsVcL.html
71,22000,169789,150,2019,Diesel,Manual,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8Pq6W6.html
72,34990,64000,218,2020,Híbrido(Gasolina),Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8Psqg0.html
73,25400,92124,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PqcMS.html
74,25400,76855,150,2017,Diesel,Automática,https://www.standvirtual.com/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PqcJO.html
